Instrument,SoldQuantity,BuyAvg,BuyValue,SellAvg,SellValue,NetRealizedPnL,RealisedGLPerc,CloseQuantityAsOnLastDay,BuyAvgOpenPrice,SellAvgPrice,CMP,NetUnrealizedPnL,NetUnrealizedPnlPerc,TotalGL,TotalGLPerc,DayGL,DayGLPerc,AssetType
ADANIPORTS-FUT-31Mar2022-NSE,5000,767.22,3836124.33,766.21,3831069.65,-5054.68,-0.13%,0,0,0,0,0,0,-5054.68,-0.13%,,%,FnO
ADANIPORTS-OPT-26Aug2021-CE-670-NSE,7500,35.79,268425,53.39,400425,132000,49.18%,0,0,0,0,0,0,132000,49.18%,,%,FnO
ADANIPORTS-OPT-26Aug2021-CE-740-NSE,8750,20.05,175437.5,11.75,102850,-72587.5,-70.58%,0,0,0,0,0,0,-72587.5,-41.38%,,%,FnO
ADANIPORTS-OPT-26Aug2021-CE-750-NSE,3750,3.87,14512.5,5.18,19425,4912.5,25.29%,0,0,0,0,0,0,4912.5,33.85%,,%,FnO
ADANIPORTS-OPT-31Mar2022-CE-780-NSE,5000,3.09,15455.91,4.48,22403.84,6947.93,31.01%,0,0,0,0,0,0,6947.93,44.95%,,%,FnO
AMARAJABAT-FUT-27May2021-NSE,3000,807.23,2421690,794.01,2382030,-39660,-1.64%,0,0,0,0,0,0,-39660,-1.64%,,%,FnO
AMARAJABAT-FUT-29Apr2021-NSE,2000,809.12,1618240,819.69,1639380,21140,1.31%,0,0,0,0,0,0,21140,1.31%,,%,FnO
AMARAJABAT-OPT-27Jan2022-CE-660-NSE,4000,18.49,73969.29,9.22,36887.51,-37081.78,-50.13%,0,0,0,0,0,0,-37081.78,-50.13%,,%,FnO
AMARAJABAT-OPT-27Jan2022-CE-700-NSE,4000,0.32,1271.6,5.13,20506,19234.4,93.80%,0,0,0,0,0,0,19234.4,1512.61%,,%,FnO
AMARAJABAT-OPT-27May2021-CE-850-NSE,4000,5.51,22040,12.98,51920,29880,57.55%,0,0,0,0,0,0,29880,135.57%,,%,FnO
AMBUJACEM-FUT-25Nov2021-NSE,6000,432.17,2593020,429.29,2575740,-17280,-0.67%,0,0,0,0,0,0,-17280,-0.67%,,%,FnO
AMBUJACEM-FUT-26Aug2021-NSE,9000,401.62,3614580,402.4,3621600,7020,0.19%,0,0,0,0,0,0,7020,0.19%,,%,FnO
AMBUJACEM-FUT-29Jul2021-NSE,27000,371.91,10041480,370.88,10013670,-27810,-0.28%,0,0,0,0,0,0,-27810,-0.28%,,%,FnO
AMBUJACEM-FUT-30Sep2021-NSE,9000,428.55,3856950,404.9,3644100,-212850,-5.84%,0,0,0,0,0,0,-212850,-5.52%,,%,FnO
AMBUJACEM-OPT-25Nov2021-CE-430-NSE,6000,13.01,78060,7.48,44880,-33180,-42.51%,0,0,0,0,0,0,-33180,-42.51%,,%,FnO
AMBUJACEM-OPT-26Aug2021-CE-410-NSE,12000,6.61,79320,3.69,44280,-35040,-44.18%,0,0,0,0,0,0,-35040,-44.18%,,%,FnO
AMBUJACEM-OPT-26Aug2021-PE-400-NSE,9000,6.56,59040,4.52,40680,-18360,-45.13%,0,0,0,0,0,0,-18360,-31.10%,,%,FnO
AMBUJACEM-OPT-29Jul2021-CE-380-NSE,9000,10.76,96840,8.98,80820,-16020,-16.54%,0,0,0,0,0,0,-16020,-16.54%,,%,FnO
AMBUJACEM-OPT-30Sep2021-CE-410-NSE,9000,15.02,135180,18.97,170730,35550,26.30%,0,0,0,0,0,0,35550,26.30%,,%,FnO
AMBUJACEM-OPT-30Sep2021-PE-400-NSE,9000,3.11,27990,5.09,45810,17820,38.90%,0,0,0,0,0,0,17820,63.67%,,%,FnO
APOLLOHOSP-OPT-24Jun2021-CE-3300-NSE,2000,117.15,234300,123.84,247680,13380,5.71%,0,0,0,0,0,0,13380,5.71%,,%,FnO
APOLLOHOSP-OPT-26Aug2021-PE-4000-NSE,2000,135.26,270520,84.78,169560,-100960,-37.32%,0,0,0,0,0,0,-100960,-37.32%,,%,FnO
APOLLOHOSP-OPT-27Jan2022-CE-4600-NSE,2000,118.32,236631.83,134.65,269306.27,32674.44,13.81%,0,0,0,0,0,0,32674.44,13.81%,,%,FnO
APOLLOHOSP-OPT-27Jan2022-PE-4300-NSE,2000,55.18,110355.43,31.32,62645.83,-47709.6,-76.16%,0,0,0,0,0,0,-47709.6,-43.23%,,%,FnO
APOLLOHOSP-OPT-27Jan2022-PE-4500-NSE,2000,115.32,230634.35,125.1,250190.51,19556.16,8.48%,0,0,0,0,0,0,19556.16,8.48%,,%,FnO
APOLLOHOSP-OPT-27May2021-CE-3300-NSE,2000,158.27,316540,187.71,375420,58880,18.60%,0,0,0,0,0,0,58880,18.60%,,%,FnO
APOLLOHOSP-OPT-29Jul2021-PE-4100-NSE,3000,70.22,210660,54.34,163020,-47640,-22.61%,0,0,0,0,0,0,-47640,-22.61%,,%,FnO
APOLLOHOSP-OPT-31Mar2022-PE-4500-NSE,1500,144.08,216116.95,104.39,156592.4,-59524.55,-27.54%,0,0,0,0,0,0,-59524.55,-27.54%,,%,FnO
ASHOKLEY-FUT-25Nov2021-NSE,18000,144.82,2606760,145.81,2624580,17820,0.68%,0,0,0,0,0,0,17820,0.68%,,%,FnO
ASHOKLEY-FUT-28Oct2021-NSE,36000,138.38,4981770,137.04,4933485,-48285,-0.97%,0,0,0,0,0,0,-48285,-0.97%,,%,FnO
ASHOKLEY-FUT-29Apr2021-NSE,9000,113.27,1019430,114.47,1030230,10800,1.06%,0,0,0,0,0,0,10800,1.06%,,%,FnO
ASHOKLEY-OPT-25Nov2021-CE-150-NSE,18000,11.11,199980,5.99,107820,-92160,-46.08%,0,0,0,0,0,0,-92160,-46.08%,,%,FnO
ASHOKLEY-OPT-28Oct2021-CE-135-NSE,22500,7.6,171000,8.94,201150,30150,17.63%,0,0,0,0,0,0,30150,17.63%,,%,FnO
ASHOKLEY-OPT-28Oct2021-CE-150-NSE,22500,0.05,1125,2.74,61650,60525,98.18%,0,0,0,0,0,0,60525,5380.00%,,%,FnO
ASHOKLEY-OPT-28Oct2021-CE-170-NSE,18000,0.1,1800,2.19,39420,37620,95.43%,0,0,0,0,0,0,37620,2090.00%,,%,FnO
ASHOKLEY-OPT-30Sep2021-CE-130-NSE,22500,4.11,92475,3.59,80775,-11700,-12.65%,0,0,0,0,0,0,-11700,-12.65%,,%,FnO
ASIANPAINT-FUT-24Jun2021-NSE,1200,3020.99,3625188,2927.99,3513588,-111600,-3.18%,0,0,0,0,0,0,-111600,-3.08%,,%,FnO
ASIANPAINT-FUT-25Nov2021-NSE,1200,3090.27,3708324,3087.42,3704904,-3420,-0.09%,0,0,0,0,0,0,-3420,-0.09%,,%,FnO
ASIANPAINT-FUT-27Jan2022-NSE,1200,3545.68,4254812.48,3548.64,4258365.89,3553.41,0.08%,0,0,0,0,0,0,3553.41,0.08%,,%,FnO
ASIANPAINT-FUT-31Mar2022-NSE,450,3001.49,1350669.43,3108.25,1398710.32,48040.89,3.43%,0,0,0,0,0,0,48040.89,3.56%,,%,FnO
ASIANPAINT-OPT-24Jun2021-PE-2900-NSE,1200,14.32,17184,36.4,43680,26496,60.66%,0,0,0,0,0,0,26496,154.19%,,%,FnO
ASIANPAINT-OPT-24Jun2021-PE-2980-NSE,1500,9.06,13590,31.61,47415,33825,71.34%,0,0,0,0,0,0,33825,248.90%,,%,FnO
ASIANPAINT-OPT-28Oct2021-PE-3050-NSE,1200,14.07,16884,14.87,17844,960,5.38%,0,0,0,0,0,0,960,5.69%,,%,FnO
AUBANK-FUT-24Jun2021-NSE,2000,1010.16,2020320,1012.75,2025500,5180,0.26%,0,0,0,0,0,0,5180,0.26%,,%,FnO
AUBANK-OPT-24Feb2022-PE-1300-NSE,2500,33.06,82642.67,58.9,147245.32,64602.65,78.17%,0,0,0,0,0,0,64602.65,78.17%,,%,FnO
AUROPHARMA-FUT-29Apr2021-NSE,1950,987.25,1925137.5,986.65,1923967.5,-1170,-0.06%,0,0,0,0,0,0,-1170,-0.06%,,%,FnO
AUROPHARMA-OPT-25Nov2021-CE-700-NSE,3250,29.3,95225,28.89,93892.5,-1332.5,-1.40%,0,0,0,0,0,0,-1332.5,-1.40%,,%,FnO
AUROPHARMA-OPT-30Dec2021-CE-670-NSE,3900,27.42,106938,27.34,106626,-312,-0.29%,0,0,0,0,0,0,-312,-0.29%,,%,FnO
AUROPHARMA-OPT-30Sep2021-CE-700-NSE,2600,34.05,88530,35.93,93418,4888,5.52%,0,0,0,0,0,0,4888,5.52%,,%,FnO
BAJAJFINSV-OPT-29Apr2021-PE-10500-NSE,1000,101.21,101210,103.74,103740,2530,2.50%,0,0,0,0,0,0,2530,2.50%,,%,FnO
BAJFINANCE-OPT-29Apr2021-CE-4800-NSE,2000,86.22,172440,120.09,240180,67740,39.28%,0,0,0,0,0,0,67740,39.28%,,%,FnO
BAJFINANCE-OPT-29Jul2021-PE-5600-NSE,2000,45.95,91900,26.91,53820,-38080,-41.44%,0,0,0,0,0,0,-38080,-41.44%,,%,FnO
BAJFINANCE-OPT-29Jul2021-PE-6000-NSE,2000,140.33,280660,169.56,339120,58460,20.83%,0,0,0,0,0,0,58460,20.83%,,%,FnO
BALRAMCHIN-OPT-27Jan2022-CE-390-NSE,8000,15.12,120964.73,17.92,143346.64,22381.91,18.50%,0,0,0,0,0,0,22381.91,18.50%,,%,FnO
BALRAMCHIN-OPT-31Mar2022-CE-500-NSE,4800,26.98,129495.92,27.96,134193.39,4697.48,3.63%,0,0,0,0,0,0,4697.48,3.63%,,%,FnO
BANDHANBNK-FUT-30Sep2021-NSE,5400,296.05,1598670,296.64,1601856,3186,0.20%,0,0,0,0,0,0,3186,0.20%,,%,FnO
BANDHANBNK-OPT-27Jan2022-CE-260-NSE,14400,10.37,149271.97,16.28,234397.14,85125.17,57.03%,0,0,0,0,0,0,85125.17,57.03%,,%,FnO
