ScriptName,ISIN,BuyQty,BuyRate,BuyVal,SellQty,SellRate,SellVal,LTPRate,LTPVal,NetRealizedPnL,IncomeTax
INFY29Dec2022CE1580.00,NSE-F&O,3000,1.960247,5880.741,3000,14.9241,44772.3,0,0,38891.559,11667.47
INFY29Dec2022PE1520.00,NSE-F&O,3000,18.17088,54512.64,3000,15.873027,47619.081,0,0,-6893.559,0
IOC30Jun2022,NSE-F&O,26000,106.517386,2769452.036,26000,106.624072,2772225.872,0,0,2773.836,832.15
ITC23Feb2023PE330.00,NSE-F&O,11200,11.869632,132939.8784,11200,3.935226,44074.5312,0,0,-88865.3472,0
ITC23Feb2023PE350.00,NSE-F&O,11200,11.753723,131641.6976,11200,22.862344,256058.2528,0,0,124416.5552,37324.97
LAURUSLABS30Jun2022PE450.00,NSE-F&O,9900,12.709819,125827.2081,9900,11.394717,112807.6983,0,0,-13019.5098,0
LICHSGFIN29Dec2022,NSE-F&O,8000,408.666554,3269332.432,8000,410.925214,3287401.712,0,0,18069.28,5420.78
LICHSGFIN29Dec2022CE410.00,NSE-F&O,12000,7.613841,91366.092,12000,6.93332,83199.84,0,0,-8166.252,0
LICHSGFIN29Dec2022PE410.00,NSE-F&O,6000,7.013133,42078.798,6000,9.380248,56281.488,0,0,14202.69,4260.81
M&MFIN26May2022CE190.00,NSE-F&O,12000,8.109708,97316.496,12000,7.437146,89245.752,0,0,-8070.744,0
MCX29Sep2022,NSE-F&O,2000,1289.10976,2578219.52,2000,1262.193535,2524387.07,0,0,-53832.45,0
MCX29Sep2022CE1360.00,NSE-F&O,2000,12.05213,24104.26,2000,19.93322,39866.44,0,0,15762.18,4728.65
MCX30Jun2022PE1100.00,NSE-F&O,5250,15.544023,81606.12075,5250,14.932429,78395.25225,0,0,-3210.8685,0
MFSL29Dec2022CE710.00,NSE-F&O,3900,23.542503,91815.7617,3900,21.897836,85401.5604,0,0,-6414.2013,0
MUTHOOTFIN27Apr2023CE1000.00,NSE-F&O,5500,16.042716,88234.938,5500,13.902075,76461.4125,0,0,-11773.5255,0
MUTHOOTFIN29Mar2023CE960.00,NSE-F&O,5500,18.844551,103645.0305,5500,20.844247,114643.3585,0,0,10998.328,3299.5
NAM-INDIA30Jun2022,NSE-F&O,9600,270.110634,2593062.086,9600,274.466602,2634879.379,0,0,41817.2928,12545.19
NATIONALUM24Nov2022,NSE-F&O,12750,73.612021,938553.2678,12750,74.531856,950281.164,0,0,11727.89625,3518.37
NATIONALUM25Aug2022,NSE-F&O,12750,81.66334,1041207.585,12750,79.280778,1010829.92,0,0,-30377.6655,0
NATIONALUM25Aug2022CE80.00,NSE-F&O,12750,1.004792,12811.098,12750,0.844907,10772.56425,0,0,-2038.53375,0
NIFTY01Dec2022CE18600.00,NSE-F&O,3600,221.599311,797757.5196,3600,82.252831,296110.1916,0,0,-501647.328,0
NIFTY01Dec2022CE18800.00,NSE-F&O,2800,41.066589,114986.4492,2800,23.330189,65324.5292,0,0,-49661.92,0
NIFTY01Dec2022CE18850.00,NSE-F&O,6700,5.337801,35763.2667,6700,8.770316,58761.1172,0,0,22997.8505,6899.36
NIFTY01Dec2022PE18600.00,NSE-F&O,5400,0.404031,2181.7674,5400,61.57988167,332531.361,0,0,330349.5936,99104.88
