entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
10-03-2021 15:15,18-03-2021 15:15,35935.8,36000,35800,BANKNIFTY21031836000CE,BANKNIFTY21031835800PE,2021,569.95,493.95,18-03-2021 15:15,18-03-2021 15:15,33931,36000,35800,BANKNIFTY21031836000CE,BANKNIFTY21031835800PE,2021,0.25,1932.5
18-03-2021 15:15,25-03-2021 15:15,33931,34000,33800,BANKNIFTY21032534000CE,BANKNIFTY21032533800PE,2021,590,524.1,25-03-2021 15:15,25-03-2021 15:15,32938.5,34000,33800,BANKNIFTY21032534000CE,BANKNIFTY21032533800PE,2021,0.4,825
25-03-2021 15:15,01-04-2021 15:15,32938.5,33000,32800,BANKNIFTY21040133000CE,BANKNIFTY21040132800PE,2021,682.4,487.25,01-04-2021 15:15,01-04-2021 15:15,33942.1,33000,32800,BANKNIFTY21040133000CE,BANKNIFTY21040132800PE,2021,870,0.25
01-04-2021 15:15,08-04-2021 15:15,33942.1,34000,33800,BANKNIFTY21040834000CE,BANKNIFTY21040833800PE,2021,508.05,336.7,08-04-2021 15:15,08-04-2021 15:15,32770.05,34000,33800,BANKNIFTY21040834000CE,BANKNIFTY21040833800PE,2021,0.25,1028.7
08-04-2021 15:15,15-04-2021 15:15,32770.05,32900,32700,BANKNIFTY21041532900CE,BANKNIFTY21041532700PE,2021,529,496.85,15-04-2021 15:15,15-04-2021 15:15,32103.3,32900,32700,BANKNIFTY21041532900CE,BANKNIFTY21041532700PE,2021,0.15,597.15
15-04-2021 15:15,22-04-2021 15:15,32103.3,32200,32000,BANKNIFTY21042232200CE,BANKNIFTY21042232000PE,2021,565.15,562.75,22-04-2021 15:15,22-04-2021 15:15,31772.45,32200,32000,BANKNIFTY21042232200CE,BANKNIFTY21042232000PE,2021,0.2,225.35
22-04-2021 15:15,29-04-2021 15:15,31772.45,31900,31700,BANKNIFTY21042931900CE,BANKNIFTY21042931700PE,2021,605.75,648.75,29-04-2021 15:15,29-04-2021 15:15,33728.1,31900,31700,BANKNIFTY21042931900CE,BANKNIFTY21042931700PE,2021,1834.95,0.1
29-04-2021 15:15,06-05-2021 15:15,33728.1,33800,33600,BANKNIFTY21050633800CE,BANKNIFTY21050633600PE,2021,630.6,625,06-05-2021 15:15,06-05-2021 15:15,32855.1,33800,33600,BANKNIFTY21050633800CE,BANKNIFTY21050633600PE,2021,0.2,770
06-05-2021 15:15,12-05-2021 15:15,32855.1,33000,32800,BANKNIFTY21051233000CE,BANKNIFTY21051232800PE,2021,464.9,511.9,12-05-2021 15:15,12-05-2021 15:15,32470.15,33000,32800,BANKNIFTY21051233000CE,BANKNIFTY21051232800PE,2021,0.3,339.1
12-05-2021 15:15,20-05-2021 15:15,32470.15,32600,32400,BANKNIFTY21052032600CE,BANKNIFTY21052032400PE,2021,442.65,445,20-05-2021 15:15,20-05-2021 15:15,33308.05,32600,32400,BANKNIFTY21052032600CE,BANKNIFTY21052032400PE,2021,717.9,0.1
20-05-2021 15:15,27-05-2021 15:15,33308.05,33400,33200,BANKNIFTY21052733400CE,BANKNIFTY21052733200PE,2021,507,408,27-05-2021 15:15,27-05-2021 15:15,35122.8,33400,33200,BANKNIFTY21052733400CE,BANKNIFTY21052733200PE,2021,1668.8,0.2
27-05-2021 15:15,03-06-2021 15:15,35122.8,35200,35000,BANKNIFTY21060335200CE,BANKNIFTY21060335000PE,2021,559.25,445.25,03-06-2021 15:15,03-06-2021 15:15,35647.35,35200,35000,BANKNIFTY21060335200CE,BANKNIFTY21060335000PE,2021,449.2,0.15
03-06-2021 15:15,10-06-2021 15:15,35647.35,35700,35500,BANKNIFTY21061035700CE,BANKNIFTY21061035500PE,2021,452.4,370.55,10-06-2021 15:15,10-06-2021 15:15,35135.6,35700,35500,BANKNIFTY21061035700CE,BANKNIFTY21061035500PE,2021,0.15,366.7
10-06-2021 15:15,17-06-2021 15:15,35135.6,35200,35000,BANKNIFTY21061735200CE,BANKNIFTY21061735000PE,2021,430.7,328.45,17-06-2021 15:15,17-06-2021 15:15,34679.65,35200,35000,BANKNIFTY21061735200CE,BANKNIFTY21061735000PE,2021,0.2,337.15
17-06-2021 15:15,24-06-2021 15:15,34679.65,34800,34600,BANKNIFTY21062434800CE,BANKNIFTY21062434600PE,2021,383.05,334.85,24-06-2021 15:15,24-06-2021 15:15,34831.25,34800,34600,BANKNIFTY21062434800CE,BANKNIFTY21062434600PE,2021,38.5,0.35
24-06-2021 15:15,01-07-2021 15:15,34831.25,34900,34700,BANKNIFTY21070134900CE,BANKNIFTY21070134700PE,2021,395,305.05,01-07-2021 15:15,01-07-2021 15:15,34682.5,34900,34700,BANKNIFTY21070134900CE,BANKNIFTY21070134700PE,2021,0.3,20.25
01-07-2021 15:15,08-07-2021 15:15,34682.5,34800,34600,BANKNIFTY21070834800CE,BANKNIFTY21070834600PE,2021,309.15,264.55,08-07-2021 15:15,08-07-2021 15:15,35328.2,34800,34600,BANKNIFTY21070834800CE,BANKNIFTY21070834600PE,2021,493.55,0.15
08-07-2021 15:15,15-07-2021 15:15,35328.2,35400,35200,BANKNIFTY21071535400CE,BANKNIFTY21071535200PE,2021,333,266.35,15-07-2021 15:15,15-07-2021 15:15,35904.55,35400,35200,BANKNIFTY21071535400CE,BANKNIFTY21071535200PE,2021,501.2,0.2
15-07-2021 15:15,22-07-2021 15:15,35904.55,36000,35800,BANKNIFTY21072236000CE,BANKNIFTY21072235800PE,2021,278.75,258.25,22-07-2021 15:15,22-07-2021 15:15,34667.9,36000,35800,BANKNIFTY21072236000CE,BANKNIFTY21072235800PE,2021,0.15,1131.3
22-07-2021 15:15,29-07-2021 15:15,34667.9,34800,34600,BANKNIFTY21072934800CE,BANKNIFTY21072934600PE,2021,300.6,283.25,29-07-2021 15:15,29-07-2021 15:15,34684.15,34800,34600,BANKNIFTY21072934800CE,BANKNIFTY21072934600PE,2021,0.45,0.35
29-07-2021 15:15,05-08-2021 15:15,34684.15,34800,34600,BANKNIFTY21080534800CE,BANKNIFTY21080534600PE,2021,293.85,264.2,05-08-2021 15:15,05-08-2021 15:15,35822.9,34800,34600,BANKNIFTY21080534800CE,BANKNIFTY21080534600PE,2021,1049.55,0.05
05-08-2021 15:15,12-08-2021 15:15,35822.9,35900,35700,BANKNIFTY21081235900CE,BANKNIFTY21081235700PE,2021,354.25,285.65,12-08-2021 15:15,12-08-2021 15:15,35930.85,35900,35700,BANKNIFTY21081235900CE,BANKNIFTY21081235700PE,2021,21.5,0.3
12-08-2021 15:15,18-08-2021 15:15,35930.85,36000,35800,BANKNIFTY21081836000CE,BANKNIFTY21081835800PE,2021,295,220,18-08-2021 15:15,18-08-2021 15:15,35589,36000,35800,BANKNIFTY21081836000CE,BANKNIFTY21081835800PE,2021,0.5,198.85
18-08-2021 15:15,26-08-2021 15:15,35589,35700,35500,BANKNIFTY21082635700CE,BANKNIFTY21082635500PE,2021,305.7,264.5,26-08-2021 15:15,26-08-2021 15:15,35617.45,35700,35500,BANKNIFTY21082635700CE,BANKNIFTY21082635500PE,2021,0.3,0.5
26-08-2021 15:15,02-09-2021 15:15,35617.45,35700,35500,BANKNIFTY21090235700CE,BANKNIFTY21090235500PE,2021,302.6,251,02-09-2021 15:15,02-09-2021 15:15,36827.1,35700,35500,BANKNIFTY21090235700CE,BANKNIFTY21090235500PE,2021,1113.6,0.15
02-09-2021 15:15,09-09-2021 15:15,36827.1,36900,36700,BANKNIFTY21090936900CE,BANKNIFTY21090936700PE,2021,332.55,271,09-09-2021 15:15,09-09-2021 15:15,36686.05,36900,36700,BANKNIFTY21090936900CE,BANKNIFTY21090936700PE,2021,0.45,28.3
09-09-2021 15:15,16-09-2021 15:15,36686.05,36800,36600,BANKNIFTY21091636800CE,BANKNIFTY21091636600PE,2021,257.2,257.55,16-09-2021 15:15,16-09-2021 15:15,37641.15,36800,36600,BANKNIFTY21091636800CE,BANKNIFTY21091636600PE,2021,842,0.3
16-09-2021 15:15,23-09-2021 15:15,37641.15,37700,37500,BANKNIFTY21092337700CE,BANKNIFTY21092337500PE,2021,401.25,318.75,23-09-2021 15:15,23-09-2021 15:15,37781.6,37700,37500,BANKNIFTY21092337700CE,BANKNIFTY21092337500PE,2021,75,0.45
23-09-2021 15:15,30-09-2021 15:15,37781.6,37900,37700,BANKNIFTY21093037900CE,BANKNIFTY21093037700PE,2021,398,345,30-09-2021 15:15,30-09-2021 15:15,37446.35,37900,37700,BANKNIFTY21093037900CE,BANKNIFTY21093037700PE,2021,0.4,246.3
30-09-2021 15:15,07-10-2021 15:15,37446.35,37500,37300,BANKNIFTY21100737500CE,BANKNIFTY21100737300PE,2021,471,323.25,07-10-2021 15:15,07-10-2021 15:15,37744.8,37500,37300,BANKNIFTY21100737500CE,BANKNIFTY21100737300PE,2021,252.45,0.2
07-10-2021 15:15,14-10-2021 15:15,37744.8,37800,37600,BANKNIFTY21101437800CE,BANKNIFTY21101437600PE,2021,389.45,299.75,14-10-2021 15:15,14-10-2021 15:15,39360.15,37800,37600,BANKNIFTY21101437800CE,BANKNIFTY21101437600PE,2021,1547.95,0.2
14-10-2021 15:15,21-10-2021 15:15,39360.15,39500,39300,BANKNIFTY21102139500CE,BANKNIFTY21102139300PE,2021,312.05,346.45,21-10-2021 15:15,21-10-2021 15:15,40035.3,39500,39300,BANKNIFTY21102139500CE,BANKNIFTY21102139300PE,2021,489.05,0.35
21-10-2021 15:15,28-10-2021 15:15,40035.3,40100,39900,BANKNIFTY21102840100CE,BANKNIFTY21102839900PE,2021,440,340.15,28-10-2021 15:15,28-10-2021 15:15,39528.1,40100,39900,BANKNIFTY21102840100CE,BANKNIFTY21102839900PE,2021,0.75,363.3
28-10-2021 15:15,03-11-2021 15:15,39528.1,39600,39400,BANKNIFTY21110339600CE,BANKNIFTY21110339400PE,2021,537.9,393.8,03-11-2021 15:15,03-11-2021 15:15,39359.75,39600,39400,BANKNIFTY21110339600CE,BANKNIFTY21110339400PE,2021,1.05,23.8
03-11-2021 15:15,11-11-2021 15:15,39359.75,39500,39300,BANKNIFTY21111139500CE,BANKNIFTY21111139300PE,2021,402.85,413.8,11-11-2021 15:15,11-11-2021 15:15,38551.2,39500,39300,BANKNIFTY21111139500CE,BANKNIFTY21111139300PE,2021,0.2,749.2
11-11-2021 15:15,18-11-2021 15:15,38551.2,38700,38500,BANKNIFTY21111838700CE,BANKNIFTY21111838500PE,2021,365.35,322,18-11-2021 15:15,18-11-2021 15:15,37946.4,38700,38500,BANKNIFTY21111838700CE,BANKNIFTY21111838500PE,2021,0.25,535.15
