,Date,portfolio_values
407,2019-11-28,137673723
408,2019-11-29,136306116
409,2019-12-02,136300941
410,2019-12-03,136336799
411,2019-12-04,137405590
412,2019-12-05,137540698
413,2019-12-06,136469681
414,2019-12-09,136111155
415,2019-12-10,135486843
416,2019-12-11,136268179
417,2019-12-12,136685762
418,2019-12-13,137901484
419,2019-12-16,137929518
420,2019-12-17,139162667
421,2019-12-18,139480410
422,2019-12-19,140087077
423,2019-12-20,140022218
424,2019-12-23,139798139
425,2019-12-24,139202573
426,2019-12-26,138182603
427,2019-12-27,139357105
428,2019-12-30,138974258
429,2019-12-31,137901613
430,2020-01-01,138186539
431,2020-01-02,138980261
432,2020-01-03,138654516
433,2020-01-06,136221950
434,2020-01-07,136792800
435,2020-01-08,136758494
436,2020-01-09,138683283
437,2020-01-10,139283607
438,2020-01-13,140082020
439,2020-01-14,140323187
440,2020-01-15,140022349
441,2020-01-16,140593293
442,2020-01-17,140248193
443,2020-01-20,138562092
444,2020-01-21,138174798
445,2020-01-22,137614774
446,2020-01-23,138486927
447,2020-01-24,139198459
448,2020-01-27,137544178
449,2020-01-28,137239444
450,2020-01-29,137770946
451,2020-01-30,136759277
452,2020-01-31,136557892
453,2020-02-03,133661002
454,2020-02-04,136512309
455,2020-02-05,137780256
456,2020-02-06,137960415
457,2020-02-07,137341012
458,2020-02-10,137353257
459,2020-02-11,138111036
460,2020-02-12,139903713
461,2020-02-13,139882758
462,2020-02-14,138980540
463,2020-02-17,138340172
464,2020-02-18,138161060
465,2020-02-19,139794669
466,2020-02-20,139082567
467,2020-02-24,136651142
468,2020-02-25,136902209
469,2020-02-26,135690713
470,2020-02-27,135128873
471,2020-02-28,129848310
472,2020-03-02,129220586
473,2020-03-03,130486969
474,2020-03-04,129962571
475,2020-03-05,130588502
476,2020-03-06,127264827
477,2020-03-09,120815734
478,2020-03-11,121066250
479,2020-03-12,110948108
480,2020-03-13,115435596
481,2020-03-16,106549121
482,2020-03-17,103506949
483,2020-03-18,98585754
484,2020-03-19,97688381
485,2020-03-20,104112055
486,2020-03-23,91679763
487,2020-03-24,95300425
488,2020-03-25,101484882
489,2020-03-26,105706810
490,2020-03-27,106790875
491,2020-03-30,101732401
492,2020-03-31,101732401
493,2020-04-01,96886055
494,2020-04-03,95112281
495,2020-04-07,103383077
496,2020-04-08,102082651
497,2020-04-09,106112591
498,2020-04-13,104822557
499,2020-04-15,103945477
500,2020-04-16,103628131
501,2020-04-17,106834165
502,2020-04-20,106727175
503,2020-04-21,104049489
504,2020-04-22,106348343
505,2020-04-23,108691775
506,2020-04-24,106854736
507,2020-04-27,108208995
508,2020-04-28,109256220
509,2020-04-29,111532780
510,2020-04-30,114687353
511,2020-05-04,108653730
512,2020-05-05,107718473
513,2020-05-06,108183319
514,2020-05-07,106920414
515,2020-05-08,108019914
516,2020-05-11,107368441
517,2020-05-12,107124244
518,2020-05-13,108685524
519,2020-05-14,105529885
520,2020-05-15,105931498
521,2020-05-18,103119636
522,2020-05-19,104834048
523,2020-05-20,106615669
524,2020-05-21,107369431
525,2020-05-22,106560737
526,2020-05-26,105432088
527,2020-05-27,108934530
528,2020-05-28,110329410
529,2020-05-29,110752985
530,2020-06-01,113714205
531,2020-06-02,115440592
532,2020-06-03,116291319
533,2020-06-04,116302029
534,2020-06-05,116838130
535,2020-06-08,116952277
536,2020-06-09,115353850
537,2020-06-10,116573764
538,2020-06-11,114099585
539,2020-06-12,114534321
540,2020-06-15,112635217
541,2020-06-16,114180752
542,2020-06-17,113829108
543,2020-06-18,116163087
544,2020-06-19,117712987
545,2020-06-22,118138066
546,2020-06-23,119280843
547,2020-06-24,117415740
548,2020-06-25,118014375
549,2020-06-26,119001326
550,2020-06-29,118863590
551,2020-06-30,118575773
552,2020-07-01,120417507
553,2020-07-02,121821379
554,2020-07-03,122888279
555,2020-07-06,124216843
556,2020-07-07,124466315
557,2020-07-08,123480289
558,2020-07-09,124646656
559,2020-07-10,124614299
560,2020-07-13,125164508
561,2020-07-14,123186224
562,2020-07-15,123248378
563,2020-07-16,124614907
564,2020-07-17,126107217
565,2020-07-20,127464217
566,2020-07-21,129176523
567,2020-07-22,128754402
568,2020-07-23,129643355
569,2020-07-24,129496575
570,2020-07-27,128779448
571,2020-07-28,130598003
572,2020-07-29,129208503
573,2020-07-30,128004921
574,2020-07-31,127379293
575,2020-08-03,125056387
576,2020-08-04,127397635
577,2020-08-05,127232016
578,2020-08-06,128683274
579,2020-08-07,128524504
580,2020-08-10,128858031
581,2020-08-11,129543777
582,2020-08-12,129025906
583,2020-08-13,128388930
584,2020-08-14,126891478
585,2020-08-17,127044561
586,2020-08-18,128762874
587,2020-08-19,129010409
588,2020-08-20,127456236
589,2020-08-21,127752432
590,2020-08-24,129168911
591,2020-08-25,129072710
592,2020-08-26,129789585
593,2020-08-27,129470605
594,2020-08-28,130626452
595,2020-08-31,128327236
596,2020-09-01,129373222
597,2020-09-02,130014997
598,2020-09-03,129288331
599,2020-09-04,127091428
600,2020-09-07,127561921
601,2020-09-08,127449447
602,2020-09-09,126736588
603,2020-09-10,128364222
604,2020-09-11,128550253
605,2020-09-14,128118472
606,2020-09-15,129185304
607,2020-09-16,129982352
608,2020-09-17,128788265
609,2020-09-18,128265122
610,2020-09-21,126209447
611,2020-09-22,125612631
612,2020-09-23,124878190
613,2020-09-24,121151063
614,2020-09-25,123957122
615,2020-09-28,125238508
616,2020-09-29,125258126
617,2020-09-30,125457457
618,2020-10-01,127429677
619,2020-10-05,128867891
620,2020-10-06,130850410
621,2020-10-07,131825783
622,2020-10-08,133060054
623,2020-10-09,134096116
624,2020-10-12,134502009
625,2020-10-13,134863946
626,2020-10-14,135243722
627,2020-10-15,131575243
628,2020-10-16,132636279
629,2020-10-19,133981702
630,2020-10-20,134229868
631,2020-10-21,134901976
632,2020-10-22,134370663
633,2020-10-23,134856188
634,2020-10-26,133547053
635,2020-10-27,134435212
636,2020-10-28,132814245
637,2020-10-29,132460679
638,2020-10-30,131603907
639,2020-11-02,132623820
640,2020-11-03,134339491
641,2020-11-04,135422669
642,2020-11-05,137368904
643,2020-11-06,139225300
644,2020-11-09,141707409
645,2020-11-10,143337613
646,2020-11-11,144750392
647,2020-11-12,143999443
648,2020-11-13,144026271
649,2020-11-14,144800897
650,2020-11-17,145368743
651,2020-11-18,145048805
652,2020-11-19,143468536
653,2020-11-20,144516917
654,2020-11-23,144831702
655,2020-11-24,146124177
656,2020-11-25,143774216
657,2020-11-26,145000806
658,2020-11-27,144443364
659,2020-12-01,146312121
660,2020-12-02,145634682
661,2020-12-03,144680339
662,2020-12-04,146335625
