,Date,portfolio_values
326,2019-07-26,127573137
327,2019-07-29,126708841
328,2019-07-30,126170694
329,2019-07-31,127346171
330,2019-08-01,126570044
331,2019-08-02,125719200
332,2019-08-05,125095524
333,2019-08-06,126213009
334,2019-08-07,126548096
335,2019-08-08,129153751
336,2019-08-09,129094363
337,2019-08-13,126559289
338,2019-08-14,127374121
339,2019-08-16,129142211
340,2019-08-19,129119149
341,2019-08-20,129780077
342,2019-08-21,128823745
343,2019-08-22,128182105
344,2019-08-23,128620408
345,2019-08-26,129654711
346,2019-08-27,130622644
347,2019-08-28,130345471
348,2019-08-29,130667631
349,2019-08-30,131246208
350,2019-09-03,129170033
351,2019-09-04,130192114
352,2019-09-05,131110392
353,2019-09-06,131773540
354,2019-09-09,131128019
355,2019-09-11,130081563
356,2019-09-12,129073090
357,2019-09-13,129776373
358,2019-09-16,129639241
359,2019-09-17,128723055
360,2019-09-18,129262225
361,2019-09-19,128190655
362,2019-09-20,130719560
363,2019-09-23,128089141
364,2019-09-24,128990401
365,2019-09-25,129445521
366,2019-09-26,130151246
367,2019-09-27,129970540
368,2019-09-30,131346028
369,2019-10-01,129538018
370,2019-10-03,129258759
371,2019-10-04,128959929
372,2019-10-07,128384769
373,2019-10-09,128804149
374,2019-10-10,128756380
375,2019-10-11,130468139
376,2019-10-14,130151745
377,2019-10-15,131407841
378,2019-10-16,132918088
379,2019-10-17,134021989
380,2019-10-18,135270243
381,2019-10-22,135400043
382,2019-10-23,136059880
383,2019-10-24,135745298
384,2019-10-25,135990938
385,2019-10-27,136417146
386,2019-10-29,136744156
387,2019-10-30,137605661
388,2019-10-31,138479005
389,2019-11-01,137346575
390,2019-11-04,136840398
391,2019-11-05,136101158
392,2019-11-06,136369333
393,2019-11-07,136809596
394,2019-11-08,134553211
395,2019-11-11,134244479
396,2019-11-13,134416293
397,2019-11-14,134658673
398,2019-11-15,133855193
399,2019-11-18,133590055
400,2019-11-19,132607502
401,2019-11-20,133220788
402,2019-11-21,133656863
403,2019-11-22,133127926
404,2019-11-25,134245354
405,2019-11-26,133474153
406,2019-11-27,133739847
407,2019-11-28,134170509
408,2019-11-29,132858136
409,2019-12-02,131869810
410,2019-12-03,132346312
411,2019-12-04,133558436
412,2019-12-05,133231838
413,2019-12-06,132591514
414,2019-12-09,131265244
415,2019-12-10,129919338
416,2019-12-11,130729984
417,2019-12-12,130767631
418,2019-12-13,131649217
419,2019-12-16,131908299
420,2019-12-17,132782570
421,2019-12-18,133205341
422,2019-12-19,133935252
423,2019-12-20,134575176
424,2019-12-23,135036313
425,2019-12-24,134898819
426,2019-12-26,134722675
427,2019-12-27,135668618
428,2019-12-30,135585364
429,2019-12-31,135272016
430,2020-01-01,136088218
431,2020-01-02,136752370
432,2020-01-03,137156231
433,2020-01-06,136294901
434,2020-01-07,136876930
435,2020-01-08,136745653
436,2020-01-09,136758751
437,2020-01-10,137162886
438,2020-01-13,138654967
439,2020-01-14,139028520
440,2020-01-15,139005366
441,2020-01-16,139629458
442,2020-01-17,140196377
443,2020-01-20,139230759
444,2020-01-21,138663984
445,2020-01-22,138681011
446,2020-01-23,139776218
447,2020-01-24,139796748
448,2020-01-27,139575020
449,2020-01-28,139036792
450,2020-01-29,139932360
451,2020-01-30,139144374
452,2020-01-31,136964461
453,2020-02-03,135514526
454,2020-02-04,136926008
455,2020-02-05,136649138
456,2020-02-06,137155099
457,2020-02-07,138503338
458,2020-02-10,137632108
459,2020-02-11,138185994
460,2020-02-12,138886967
461,2020-02-13,139522949
462,2020-02-14,138429929
463,2020-02-17,137788376
464,2020-02-18,138216851
465,2020-02-19,140119267
466,2020-02-20,139461639
467,2020-02-24,137411366
468,2020-02-25,137192968
469,2020-02-26,135804290
470,2020-02-27,135966085
471,2020-02-28,130646682
472,2020-03-02,131091972
473,2020-03-03,133773507
474,2020-03-04,135212712
475,2020-03-05,135500574
476,2020-03-06,132492938
477,2020-03-09,126835273
478,2020-03-11,126324532
479,2020-03-12,117091931
480,2020-03-13,118829300
481,2020-03-16,112310003
482,2020-03-17,110399363
483,2020-03-18,103333114
484,2020-03-19,100911779
485,2020-03-20,108984145
486,2020-03-23,98985355
487,2020-03-24,103208486
488,2020-03-25,106716830
489,2020-03-26,110620880
490,2020-03-27,109298485
491,2020-03-30,107766638
492,2020-03-31,107766638
493,2020-04-01,104290891
494,2020-04-03,103786768
495,2020-04-07,112545859
496,2020-04-08,113702752
497,2020-04-09,117448283
498,2020-04-13,117462679
499,2020-04-15,118900702
500,2020-04-16,119702407
501,2020-04-17,119948226
502,2020-04-20,119137841
503,2020-04-21,118268616
504,2020-04-22,119478531
505,2020-04-23,119851816
506,2020-04-24,118988277
507,2020-04-27,120417186
508,2020-04-28,118550943
509,2020-04-29,119232485
510,2020-04-30,123100811
511,2020-05-04,119865209
512,2020-05-05,118943560
513,2020-05-06,118963717
514,2020-05-07,117081511
515,2020-05-08,118044204
516,2020-05-11,118388388
517,2020-05-12,118900124
518,2020-05-13,119252120
519,2020-05-14,117698257
520,2020-05-15,117541010
521,2020-05-18,116115404
522,2020-05-19,116816015
523,2020-05-20,118979650
524,2020-05-21,119292323
525,2020-05-22,119369250
526,2020-05-26,119097545
527,2020-05-27,120839633
528,2020-05-28,121473754
529,2020-05-29,125212604
530,2020-06-01,126574335
531,2020-06-02,126012632
532,2020-06-03,125881967
533,2020-06-04,127607743
534,2020-06-05,127843725
535,2020-06-08,127938675
536,2020-06-09,127517461
537,2020-06-10,127133533
538,2020-06-11,126112191
539,2020-06-12,125447690
540,2020-06-15,124469434
541,2020-06-16,124070777
542,2020-06-17,123497876
543,2020-06-18,124551437
544,2020-06-19,124858783
545,2020-06-22,127217741
546,2020-06-23,129595247
547,2020-06-24,126863375
548,2020-06-25,126563460
549,2020-06-26,127994417
550,2020-06-29,126815995
551,2020-06-30,126296378
552,2020-07-01,125241676
553,2020-07-02,126530216
554,2020-07-03,127423363
555,2020-07-06,127313567
556,2020-07-07,126732798
557,2020-07-08,125820676
558,2020-07-09,126173404
559,2020-07-10,126616096
560,2020-07-13,127422492
561,2020-07-14,126007116
562,2020-07-15,129231964
563,2020-07-16,130537021
564,2020-07-17,131510913
565,2020-07-20,132341989
566,2020-07-21,132709144
567,2020-07-22,132416834
568,2020-07-23,133679139
569,2020-07-24,133387473
570,2020-07-27,133527305
571,2020-07-28,135353513
572,2020-07-29,135964869
573,2020-07-30,136697893
574,2020-07-31,137774966
575,2020-08-03,137010221
576,2020-08-04,137538433
577,2020-08-05,137344987
578,2020-08-06,138619942
579,2020-08-07,138374559
580,2020-08-10,141792583
581,2020-08-11,141212726
582,2020-08-12,140990936
583,2020-08-13,141262921
584,2020-08-14,140817069
585,2020-08-17,143400628
586,2020-08-18,143441339
587,2020-08-19,142393825
588,2020-08-20,143252413
589,2020-08-21,144741184
590,2020-08-24,144035297
591,2020-08-25,143146973
592,2020-08-26,143635050
593,2020-08-27,143690534
594,2020-08-28,142642018
595,2020-08-31,139224918
596,2020-09-01,140988360
597,2020-09-02,141750419
598,2020-09-03,142411948
599,2020-09-04,140094613
600,2020-09-07,140671366
601,2020-09-08,139912709
602,2020-09-09,140490512
603,2020-09-10,140653466
604,2020-09-11,141013195
605,2020-09-14,143436932
606,2020-09-15,144124335
607,2020-09-16,146001846
608,2020-09-17,146090436
609,2020-09-18,149919427
610,2020-09-21,146062121
611,2020-09-22,146896250
612,2020-09-23,145518729
613,2020-09-24,141174034
614,2020-09-25,144926220
615,2020-09-28,146197280
616,2020-09-29,144303850
617,2020-09-30,144963285
618,2020-10-01,145739507
619,2020-10-05,148218573
620,2020-10-06,148223139
621,2020-10-07,148579999
622,2020-10-08,151864550
623,2020-10-09,151930322
624,2020-10-12,152613799
625,2020-10-13,152213387
626,2020-10-14,149883257
627,2020-10-15,147683414
628,2020-10-16,148251498
629,2020-10-19,148085901
630,2020-10-20,148966057
631,2020-10-21,148836196
632,2020-10-22,148967153
633,2020-10-23,149310730
634,2020-10-26,147997375
635,2020-10-27,150048377
636,2020-10-28,148723937
637,2020-10-29,148191983
638,2020-10-30,148470650
639,2020-11-02,147098497
640,2020-11-03,147726910
641,2020-11-04,149049005
642,2020-11-05,151311965
643,2020-11-06,151595571
644,2020-11-09,153290037
645,2020-11-10,149422748
646,2020-11-11,152212674
647,2020-11-12,151635099
648,2020-11-13,152477575
649,2020-11-14,152762338
650,2020-11-17,152003187
