,Date,portfolio_values
728,2021-03-10,175060147
729,2021-03-12,173743496
730,2021-03-15,173399664
731,2021-03-16,173843701
732,2021-03-17,170690034
733,2021-03-18,167482450
734,2021-03-19,169399196
735,2021-03-22,170904454
736,2021-03-23,171475720
737,2021-03-24,170620491
738,2021-03-25,167679880
739,2021-03-26,168880603
740,2021-03-30,174129488
741,2021-03-31,174129488
742,2021-04-01,174951573
743,2021-04-05,174457612
744,2021-04-06,176648025
745,2021-04-07,178144971
746,2021-04-08,178786197
747,2021-04-09,182061141
748,2021-04-12,180108950
749,2021-04-13,178443429
750,2021-04-15,180239586
751,2021-04-16,183724467
752,2021-04-19,183268094
753,2021-04-20,184064620
754,2021-04-22,183611653
755,2021-04-23,181987988
756,2021-04-26,182019808
757,2021-04-27,183412065
758,2021-04-28,183675780
759,2021-04-29,183777227
760,2021-04-30,184616456
761,2021-05-03,185928198
762,2021-05-04,183190720
763,2021-05-05,188226549
764,2021-05-06,189259121
765,2021-05-07,189917606
766,2021-05-10,193181123
767,2021-05-11,191685343
768,2021-05-12,190497171
769,2021-05-14,190251331
770,2021-05-17,189664302
771,2021-05-18,189400586
772,2021-05-19,190551318
773,2021-05-20,189722212
774,2021-05-21,191212381
775,2021-05-24,191174973
776,2021-05-25,192033296
777,2021-05-26,192576403
778,2021-05-27,192790608
779,2021-05-28,191657852
780,2021-05-31,193924525
781,2021-06-01,194098370
782,2021-06-02,194358560
783,2021-06-03,193986366
784,2021-06-04,193477939
785,2021-06-07,193848521
786,2021-06-08,195275121
787,2021-06-09,194316311
788,2021-06-10,196633601
789,2021-06-11,196749540
790,2021-06-14,196808923
791,2021-06-15,196133232
792,2021-06-16,195641254
793,2021-06-17,194580175
794,2021-06-18,194206103
795,2021-06-21,194338533
796,2021-06-22,194703687
797,2021-06-23,193323960
798,2021-06-24,193370016
799,2021-06-25,193931042
800,2021-06-28,194889342
801,2021-06-29,195432168
802,2021-06-30,195194039
803,2021-07-01,195905124
804,2021-07-02,196578420
805,2021-07-05,196552613
806,2021-07-06,195222960
807,2021-07-07,196208944
808,2021-07-08,194126641
809,2021-07-09,195126363
810,2021-07-12,195085125
811,2021-07-13,195765993
812,2021-07-14,197535188
813,2021-07-15,197821314
814,2021-07-16,199950022
815,2021-07-19,200076663
816,2021-07-20,198248134
817,2021-07-22,200099342
818,2021-07-23,201473598
819,2021-07-26,201339060
820,2021-07-27,196146297
821,2021-07-28,196438171
822,2021-07-29,195347842
823,2021-07-30,198381470
824,2021-08-02,199328189
825,2021-08-03,202842648
826,2021-08-04,202227869
827,2021-08-05,203650404
828,2021-08-06,202982300
829,2021-08-09,203034528
830,2021-08-10,203646137
831,2021-08-11,201430590
832,2021-08-12,200133178
833,2021-08-13,201154903
834,2021-08-16,200709772
835,2021-08-17,202908750
836,2021-08-18,202725828
837,2021-08-20,200886832
838,2021-08-23,202169981
839,2021-08-24,203218157
840,2021-08-25,202812709
841,2021-08-26,201433960
842,2021-08-27,203387696
843,2021-08-30,206286602
844,2021-08-31,209374407
845,2021-09-01,209530872
846,2021-09-02,211892578
847,2021-09-03,211689283
848,2021-09-06,213139093
849,2021-09-07,213161699
850,2021-09-08,211722131
851,2021-09-09,212923474
852,2021-09-13,213862394
853,2021-09-14,213446676
854,2021-09-15,214999297
855,2021-09-16,215162638
856,2021-09-17,214204484
857,2021-09-20,213392389
858,2021-09-21,215447970
859,2021-09-22,215440085
860,2021-09-23,215769710
861,2021-09-24,214953659
862,2021-09-27,212424882
863,2021-09-28,211055081
864,2021-09-29,212431220
865,2021-09-30,212000164
866,2021-10-01,212739683
867,2021-10-04,214709145
868,2021-10-05,214627887
869,2021-10-06,211193023
870,2021-10-07,211866598
871,2021-10-08,211885521
872,2021-10-11,213002461
873,2021-10-12,214503479
874,2021-10-13,215981468
875,2021-10-14,218310162
876,2021-10-18,217888074
877,2021-10-19,214589528
878,2021-10-20,213503655
879,2021-10-21,212517083
880,2021-10-22,209827514
881,2021-10-25,208594670
882,2021-10-26,209904775
883,2021-10-27,211266435
884,2021-10-28,206473675
885,2021-10-29,206888626
886,2021-11-01,210385572
887,2021-11-02,209598990
888,2021-11-03,207963798
889,2021-11-04,209112056
890,2021-11-08,208767225
891,2021-11-09,209174784
892,2021-11-10,209890305
893,2021-11-11,207708211
894,2021-11-12,210674070
895,2021-11-15,212303828
896,2021-11-16,210382500
897,2021-11-17,208740608
898,2021-11-18,207167075
899,2021-11-22,205002914
900,2021-11-23,207255414
901,2021-11-24,205561742
902,2021-11-25,206855512
903,2021-11-26,207212251
904,2021-11-29,205961994
905,2021-11-30,205681629
906,2021-12-01,203615487
907,2021-12-02,206019552
