Date,portfolio_values
26-08-2021,190508155
27-08-2021,192255439
30-08-2021,194896923
31-08-2021,196446664
01-09-2021,196484845
02-09-2021,198894046
03-09-2021,198788767
06-09-2021,199109435
07-09-2021,199107794
08-09-2021,198074412
09-09-2021,198785024
13-09-2021,199208494
14-09-2021,199050313
15-09-2021,199655604
16-09-2021,200455764
17-09-2021,199026801
20-09-2021,198301824
21-09-2021,200492415
22-09-2021,200450299
23-09-2021,200535468
24-09-2021,198909544
27-09-2021,197105461
28-09-2021,197252848
29-09-2021,198967035
30-09-2021,199020761
01-10-2021,200329630
04-10-2021,202271733
05-10-2021,201135356
06-10-2021,197817007
07-10-2021,198226691
08-10-2021,197186882
11-10-2021,199180571
12-10-2021,200883492
13-10-2021,201854088
14-10-2021,203041805
18-10-2021,202661219
19-10-2021,198499600
20-10-2021,196532500
21-10-2021,196125531
22-10-2021,193606062
25-10-2021,192992033
26-10-2021,194365934
27-10-2021,195630736
28-10-2021,191002116
29-10-2021,192216856
01-11-2021,194937937
02-11-2021,193997858
03-11-2021,192671631
04-11-2021,193936272
08-11-2021,192946800
09-11-2021,193268305
10-11-2021,193529120
11-11-2021,191691425
12-11-2021,193774020
15-11-2021,196079248
16-11-2021,193889251
17-11-2021,192279639
18-11-2021,191118066
22-11-2021,187697613
23-11-2021,189832444
24-11-2021,188078987
25-11-2021,189398233
26-11-2021,191713507
29-11-2021,189682241
30-11-2021,189453574
01-12-2021,187292216
02-12-2021,189197881
03-12-2021,186982261
06-12-2021,183484050
07-12-2021,184533272
08-12-2021,186637955
09-12-2021,187334856
10-12-2021,186867628
13-12-2021,186251771
14-12-2021,188176005
15-12-2021,187263085
16-12-2021,186080406
17-12-2021,182752976
20-12-2021,182598270
21-12-2021,183690153
22-12-2021,186028542
23-12-2021,187066676
24-12-2021,186070092
27-12-2021,188070052
28-12-2021,189634287
29-12-2021,191518040
30-12-2021,192468591
31-12-2021,194114798
03-01-2022,193420999
04-01-2022,193059053
05-01-2022,192701682
06-01-2022,190724523
07-01-2022,190887226
10-01-2022,191133391
11-01-2022,191554511
12-01-2022,191648102
13-01-2022,194167294
14-01-2022,192743993
17-01-2022,192364742
18-01-2022,190926375
19-01-2022,189353009
20-01-2022,185729658
21-01-2022,183525302
24-01-2022,181712807
25-01-2022,183063796
27-01-2022,181089538
28-01-2022,182023936
31-01-2022,184106065
01-02-2022,187801412
02-02-2022,189694443
03-02-2022,188960698
04-02-2022,188805099
07-02-2022,184810154
08-02-2022,185786701
09-02-2022,187175953
10-02-2022,187934952
11-02-2022,185849692
14-02-2022,182532178
15-02-2022,184348788
16-02-2022,185635698
17-02-2022,185015887
18-02-2022,183819946
21-02-2022,181825663
22-02-2022,180759794
23-02-2022,180135140
24-02-2022,174178948
25-02-2022,178112222
28-02-2022,178999164
02-03-2022,176120795
03-03-2022,174996020
04-03-2022,174964768
07-03-2022,173707344
08-03-2022,176933473
09-03-2022,179619320
10-03-2022,181872669
11-03-2022,185320750
14-03-2022,185280356
15-03-2022,185111017
16-03-2022,186496007
17-03-2022,189601875
21-03-2022,188044008
22-03-2022,187171097
23-03-2022,187057636
24-03-2022,189200850
25-03-2022,187510557
28-03-2022,187263058
29-03-2022,189487332
30-03-2022,189196639
31-03-2022,189196639
01-04-2022,191563466
04-04-2022,194707521
05-04-2022,195552325
06-04-2022,195747396
07-04-2022,196018879
08-04-2022,197289742
11-04-2022,197026693
12-04-2022,196023321
13-04-2022,196053696
18-04-2022,197221296
19-04-2022,193794225
20-04-2022,195764783
21-04-2022,196356426
22-04-2022,192772101
25-04-2022,189438700
26-04-2022,193325034
27-04-2022,191579874
28-04-2022,194360327
29-04-2022,192271154
02-05-2022,191978165
04-05-2022,189790811
05-05-2022,188758563
06-05-2022,186880211
09-05-2022,186836835
10-05-2022,185469848
11-05-2022,185538675
12-05-2022,182734020
13-05-2022,184132986
16-05-2022,183098662
17-05-2022,186167188
18-05-2022,186118454
19-05-2022,182301056
20-05-2022,187797534
23-05-2022,184266462
24-05-2022,181918585
25-05-2022,180686706
26-05-2022,180891696
27-05-2022,181054343
30-05-2022,182648344
31-05-2022,184675967
01-06-2022,181892685
02-06-2022,181965311
03-06-2022,180802314
06-06-2022,180735859
07-06-2022,179933207
08-06-2022,180064710
09-06-2022,181595061
10-06-2022,181614251
13-06-2022,179487302
14-06-2022,179524163
15-06-2022,179189288
16-06-2022,176399394
17-06-2022,172806766
20-06-2022,173755348
21-06-2022,176790234
22-06-2022,174848975
23-06-2022,176896391
24-06-2022,178448467
27-06-2022,179708525
28-06-2022,181112915
29-06-2022,180469904
30-06-2022,179509131
01-07-2022,178306066
04-07-2022,178804642
05-07-2022,179886588
06-07-2022,180660570
07-07-2022,180330075
08-07-2022,181830078
11-07-2022,183788631
12-07-2022,181470474
13-07-2022,183795022
14-07-2022,184511752
15-07-2022,185283755
18-07-2022,185280750
19-07-2022,184566090
20-07-2022,186832217
21-07-2022,186838649
22-07-2022,186860999
25-07-2022,184863234
26-07-2022,182148439
27-07-2022,184610728
28-07-2022,186541790
29-07-2022,186886109
01-08-2022,187833588
02-08-2022,188694280
03-08-2022,188284588
04-08-2022,191187619
05-08-2022,192036952
08-08-2022,192005244
10-08-2022,192340274
11-08-2022,192552832
12-08-2022,191950748
16-08-2022,193353080
17-08-2022,193939744
18-08-2022,193495652
19-08-2022,192113723
22-08-2022,190306136
23-08-2022,191368522
24-08-2022,191041393
25-08-2022,190060067
26-08-2022,190196801
29-08-2022,190035911
30-08-2022,193243417
01-09-2022,190366669
02-09-2022,189137016
05-09-2022,189018547
06-09-2022,188821939
07-09-2022,189670575
08-09-2022,189768978
09-09-2022,190162392
12-09-2022,190755650
13-09-2022,191093027
14-09-2022,191079206
15-09-2022,189953576
16-09-2022,186905660
19-09-2022,188114423
20-09-2022,191282843
21-09-2022,189344172
22-09-2022,189106594
23-09-2022,186610595
26-09-2022,185557617
27-09-2022,187869829
28-09-2022,189424509
29-09-2022,190635988
30-09-2022,191999896
03-10-2022,193895560
04-10-2022,195970889
06-10-2022,193790341
07-10-2022,193941579
10-10-2022,192600725
11-10-2022,188071736
12-10-2022,189573375
13-10-2022,189126819
14-10-2022,189799599
17-10-2022,190053351
18-10-2022,191619243
19-10-2022,191647402
20-10-2022,193423349
21-10-2022,194018888
24-10-2022,195049563
25-10-2022,193708011
27-10-2022,195647382
28-10-2022,195471827
31-10-2022,196813944
01-11-2022,200539791
02-11-2022,199280288
03-11-2022,199506934
04-11-2022,198210334
07-11-2022,196343146
09-11-2022,193950860
10-11-2022,194211241
11-11-2022,195005516
14-11-2022,193826658
15-11-2022,195018241
16-11-2022,195201902
17-11-2022,194538003
18-11-2022,193557521
21-11-2022,193286923
22-11-2022,193312157
23-11-2022,193328290
24-11-2022,194928683
25-11-2022,195138994
28-11-2022,195767635
29-11-2022,198650932
30-11-2022,201247333
01-12-2022,200149404
02-12-2022,199053760
05-12-2022,199385547
06-12-2022,199124718
07-12-2022,198998259
08-12-2022,198041169
09-12-2022,198586321
12-12-2022,199295375
13-12-2022,199642636
14-12-2022,200726745
15-12-2022,198820835
16-12-2022,196446484
19-12-2022,198634012
20-12-2022,197691858
21-12-2022,200119570
22-12-2022,199447739
23-12-2022,197533933
26-12-2022,195751931
27-12-2022,196174021
28-12-2022,195692461
29-12-2022,195579028
30-12-2022,194839849
02-01-2023,195096079
03-01-2023,195460517
04-01-2023,194076829
05-01-2023,195929849
06-01-2023,195326780
09-01-2023,197517396
10-01-2023,198215933
11-01-2023,195354229
12-01-2023,195572048
13-01-2023,196535936
16-01-2023,196216734
17-01-2023,198013328
18-01-2023,198991812
19-01-2023,198488720
20-01-2023,196369966
23-01-2023,198195302
24-01-2023,196564428
25-01-2023,195436729
27-01-2023,195556862
30-01-2023,193138485
31-01-2023,192973332
01-02-2023,193641079
02-02-2023,193219210
03-02-2023,191536680
06-02-2023,191285978
07-02-2023,191542886
08-02-2023,192720822
09-02-2023,192917008
10-02-2023,192153810
13-02-2023,190340082
14-02-2023,190270751
15-02-2023,190258248
16-02-2023,192630314
17-02-2023,190771804
20-02-2023,189054363
21-02-2023,189503674
22-02-2023,188302334
23-02-2023,187587181
24-02-2023,188982632
27-02-2023,188111205
28-02-2023,186295262
01-03-2023,186733327
02-03-2023,186227459
03-03-2023,186725220
06-03-2023,188217998
08-03-2023,188170794
09-03-2023,186867458
10-03-2023,186737017
13-03-2023,185872239
14-03-2023,184973824
15-03-2023,184964777
16-03-2023,187074425
17-03-2023,187089290
20-03-2023,187120934
21-03-2023,185616978
22-03-2023,186499600
23-03-2023,186603371
24-03-2023,185948853
27-03-2023,187066934
28-03-2023,186350521
29-03-2023,187965628
