FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
09-09-2021,09-09-2021,-1308268.5,0,-1308268.5
15-09-2021,15-09-2021,122076,0,122076
16-09-2021,16-09-2021,1604401,0,1604401
17-09-2021,17-09-2021,87656,0,87656
20-09-2021,20-09-2021,-230744.67,0,-230744.67
21-09-2021,21-09-2021,-291715,0,-291715
22-09-2021,22-09-2021,-38883,0,-38883
23-09-2021,23-09-2021,403357.5,0,403357.5
24-09-2021,24-09-2021,556385,0,556385
27-09-2021,27-09-2021,-3878262.5,0,-3878262.5
28-09-2021,28-09-2021,-2897680.25,0,-2897680.25
29-09-2021,29-09-2021,2159653,0,2159653
30-09-2021,30-09-2021,173321.25,0,173321.25
04-10-2021,04-10-2021,69624.25,0,69624.25
05-10-2021,05-10-2021,130751,0,130751
06-10-2021,06-10-2021,-190831,0,-190831
07-10-2021,07-10-2021,145198.5,0,145198.5
08-10-2021,08-10-2021,74109,0,74109
11-10-2021,11-10-2021,-27305,0,-27305
12-10-2021,12-10-2021,115397.5,0,115397.5
13-10-2021,13-10-2021,95552,0,95552
14-10-2021,14-10-2021,-264700.88,0,-264700.88
18-10-2021,18-10-2021,149445,0,149445
19-10-2021,19-10-2021,-16696,0,-16696
20-10-2021,20-10-2021,-272674.5,0,-272674.5
21-10-2021,21-10-2021,248753,0,248753
22-10-2021,22-10-2021,-294394,0,-294394
25-10-2021,25-10-2021,139916,0,139916
26-10-2021,26-10-2021,141567.84,0,141567.84
27-10-2021,27-10-2021,84915.5,0,84915.5
28-10-2021,28-10-2021,-741040,0,-741040
29-10-2021,29-10-2021,149723,0,149723
01-11-2021,01-11-2021,-61744.5,0,-61744.5
02-11-2021,02-11-2021,229706,0,229706
03-11-2021,03-11-2021,1007828,0,1007828
08-11-2021,08-11-2021,-1128162.96,0,-1128162.96
09-11-2021,09-11-2021,5269.75,0,5269.75
10-11-2021,10-11-2021,-55942,0,-55942
11-11-2021,11-11-2021,223306,0,223306
12-11-2021,12-11-2021,-549813,0,-549813
15-11-2021,15-11-2021,-43691.56,0,-43691.56
16-11-2021,16-11-2021,273078.5,0,273078.5
17-11-2021,17-11-2021,99961,0,99961
18-11-2021,18-11-2021,-597173,0,-597173
22-11-2021,22-11-2021,19090,0,19090
23-11-2021,23-11-2021,1736300,0,1736300
25-11-2021,25-11-2021,-2056813.5,0,-2056813.5
26-11-2021,26-11-2021,456453.75,0,456453.75
29-11-2021,29-11-2021,203602,0,203602
30-11-2021,30-11-2021,-103611.25,0,-103611.25
01-12-2021,01-12-2021,-284712.25,0,-284712.25
02-12-2021,02-12-2021,503930.5,0,503930.5
03-12-2021,03-12-2021,142789,0,142789
06-12-2021,06-12-2021,-540036,0,-540036
07-12-2021,07-12-2021,-990847.5,0,-990847.5
08-12-2021,08-12-2021,408943.5,0,408943.5
09-12-2021,09-12-2021,281316.25,0,281316.25
13-12-2021,13-12-2021,11204.5,0,11204.5
14-12-2021,14-12-2021,55575,0,55575
15-12-2021,15-12-2021,-290028,0,-290028
16-12-2021,16-12-2021,206509,0,206509
17-12-2021,17-12-2021,-21974.25,0,-21974.25
20-12-2021,20-12-2021,68850.5,0,68850.5
