datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
2021-03-18 13:13:00,34199.3,34233.6,34190.95,34233.6,34200.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:14:00,34228.25,34228.25,34145.4,34151.9,34200.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:15:00,34153.0,34198.45,34149.05,34175.25,34200.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:16:00,34174.35,34176.55,34038.85,34042.4,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:17:00,34022.25,34100.7,33977.1,34085.25,34100.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:18:00,34076.6,34090.3,34017.15,34028.35,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:19:00,34024.9,34055.8,34005.75,34005.75,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:20:00,34007.0,34043.35,33996.95,34031.6,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:21:00,34030.0,34071.45,34006.55,34054.6,34100.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:22:00,34058.8,34128.9,34057.6,34122.3,34100.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:23:00,34110.6,34116.25,34048.55,34060.45,34100.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:24:00,34058.8,34076.95,34039.4,34044.3,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:25:00,34042.5,34044.75,33950.15,33969.5,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:26:00,33974.05,34009.5,33956.3,34007.45,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:27:00,34008.35,34008.35,33961.8,33991.05,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
