date,final_close,final_CEentryPrice,final_CEhitstatus,final_CE_maxMTM,final_CE_minMTM,final_CE_PnL,final_PEentryPrice,final_PEhitstatus,final_PE_maxMTM,final_PE_minMTM,final_PE_PnL,finalTotal_PnL
2021-09-30,37411.4,37411.4,37411.4,37411.4,37411.4,37411.4,37411.4,37411.4,37411.4,37411.4,37411.4,37411.4
2021-10-01,37235.05,37235.05,37235.05,37235.05,37235.05,37235.05,37235.05,37235.05,37235.05,37235.05,37235.05,37235.05
2021-10-04,37602.7,37602.7,37602.7,37602.7,37602.7,37602.7,37602.7,37602.7,37602.7,37602.7,37602.7,37602.7
2021-10-05,37740.6,37740.6,37740.6,37740.6,37740.6,37740.6,37740.6,37740.6,37740.6,37740.6,37740.6,37740.6
2021-10-06,37480.05,37480.05,37480.05,37480.05,37480.05,37480.05,37480.05,37480.05,37480.05,37480.05,37480.05,37480.05
2021-10-07,37757.45,37757.45,37757.45,37757.45,37757.45,37757.45,37757.45,37757.45,37757.45,37757.45,37757.45,37757.45
2021-10-08,37831.15,37831.15,37831.15,37831.15,37831.15,37831.15,37831.15,37831.15,37831.15,37831.15,37831.15,37831.15
2021-10-11,38287.1,38287.1,38287.1,38287.1,38287.1,38287.1,38287.1,38287.1,38287.1,38287.1,38287.1,38287.1
2021-10-12,38529.15,38529.15,38529.15,38529.15,38529.15,38529.15,38529.15,38529.15,38529.15,38529.15,38529.15,38529.15
2021-10-13,38584.25,38584.25,38584.25,38584.25,38584.25,38584.25,38584.25,38584.25,38584.25,38584.25,38584.25,38584.25
2021-10-14,39329.35,39329.35,39329.35,39329.35,39329.35,39329.35,39329.35,39329.35,39329.35,39329.35,39329.35,39329.35
2021-10-18,39676.25,39676.25,39676.25,39676.25,39676.25,39676.25,39676.25,39676.25,39676.25,39676.25,39676.25,39676.25
2021-10-19,39540.5,39540.5,39540.5,39540.5,39540.5,39540.5,39540.5,39540.5,39540.5,39540.5,39540.5,39540.5
2021-10-20,39557.35,39557.35,39557.35,39557.35,39557.35,39557.35,39557.35,39557.35,39557.35,39557.35,39557.35,39557.35
2021-10-21,40164.75,40164.75,40164.75,40164.75,40164.75,40164.75,40164.75,40164.75,40164.75,40164.75,40164.75,40164.75
2021-10-22,40314.85,40314.85,40314.85,40314.85,40314.85,40314.85,40314.85,40314.85,40314.85,40314.85,40314.85,40314.85
2021-10-25,41246.65,41246.65,41246.65,41246.65,41246.65,41246.65,41246.65,41246.65,41246.65,41246.65,41246.65,41246.65
2021-10-26,41305.55,41305.55,41305.55,41305.55,41305.55,41305.55,41305.55,41305.55,41305.55,41305.55,41305.55,41305.55
2021-10-27,40803.85,40803.85,40803.85,40803.85,40803.85,40803.85,40803.85,40803.85,40803.85,40803.85,40803.85,40803.85
2021-10-28,39571.8,39571.8,39571.8,39571.8,39571.8,39571.8,39571.8,39571.8,39571.8,39571.8,39571.8,39571.8
2021-10-29,39272.6,39272.6,39272.6,39272.6,39272.6,39272.6,39272.6,39272.6,39272.6,39272.6,39272.6,39272.6
2021-11-01,39839.1,39839.1,39839.1,39839.1,39839.1,39839.1,39839.1,39839.1,39839.1,39839.1,39839.1,39839.1
2021-11-02,39901.55,39901.55,39901.55,39901.55,39901.55,39901.55,39901.55,39901.55,39901.55,39901.55,39901.55,39901.55
2021-11-03,39416.45,39416.45,39416.45,39416.45,39416.45,39416.45,39416.45,39416.45,39416.45,39416.45,39416.45,39416.45
2021-11-08,39499.3,39499.3,39499.3,39499.3,39499.3,39499.3,39499.3,39499.3,39499.3,39499.3,39499.3,39499.3
2021-11-09,39404.6,39404.6,39404.6,39404.6,39404.6,39404.6,39404.6,39404.6,39404.6,39404.6,39404.6,39404.6
2021-11-10,39025.3,39025.3,39025.3,39025.3,39025.3,39025.3,39025.3,39025.3,39025.3,39025.3,39025.3,39025.3
2021-11-11,38571.8,38571.8,38571.8,38571.8,38571.8,38571.8,38571.8,38571.8,38571.8,38571.8,38571.8,38571.8
2021-11-12,38751.85,38751.85,38751.85,38751.85,38751.85,38751.85,38751.85,38751.85,38751.85,38751.85,38751.85,38751.85
2021-11-15,38677.35,38677.35,38677.35,38677.35,38677.35,38677.35,38677.35,38677.35,38677.35,38677.35,38677.35,38677.35
2021-11-16,38239.95,38239.95,38239.95,38239.95,38239.95,38239.95,38239.95,38239.95,38239.95,38239.95,38239.95,38239.95
2021-11-17,38006.05,38006.05,38006.05,38006.05,38006.05,38006.05,38006.05,38006.05,38006.05,38006.05,38006.05,38006.05
2021-11-18,37941.95,37941.95,37941.95,37941.95,37941.95,37941.95,37941.95,37941.95,37941.95,37941.95,37941.95,37941.95
2021-11-22,37258.4,37258.4,37258.4,37258.4,37258.4,37258.4,37258.4,37258.4,37258.4,37258.4,37258.4,37258.4
2021-11-23,37262.45,37262.45,37262.45,37262.45,37262.45,37262.45,37262.45,37262.45,37262.45,37262.45,37262.45,37262.45
2021-11-24,37344.3,37344.3,37344.3,37344.3,37344.3,37344.3,37344.3,37344.3,37344.3,37344.3,37344.3,37344.3
2021-11-25,37382.25,37382.25,37382.25,37382.25,37382.25,37382.25,37382.25,37382.25,37382.25,37382.25,37382.25,37382.25
2021-11-26,35951.9,35951.9,35951.9,35951.9,35951.9,35951.9,35951.9,35951.9,35951.9,35951.9,35951.9,35951.9
2021-11-29,35938.85,35938.85,35938.85,35938.85,35938.85,35938.85,35938.85,35938.85,35938.85,35938.85,35938.85,35938.85
2021-11-30,35600.45,35600.45,35600.45,35600.45,35600.45,35600.45,35600.45,35600.45,35600.45,35600.45,35600.45,35600.45
2021-12-01,36383.35,36383.35,36383.35,36383.35,36383.35,36383.35,36383.35,36383.35,36383.35,36383.35,36383.35,36383.35
2021-12-02,36540.95,36540.95,36540.95,36540.95,36540.95,36540.95,36540.95,36540.95,36540.95,36540.95,36540.95,36540.95
2021-12-03,36215.15,36215.15,36215.15,36215.15,36215.15,36215.15,36215.15,36215.15,36215.15,36215.15,36215.15,36215.15
2021-12-06,35737.45,35737.45,35737.45,35737.45,35737.45,35737.45,35737.45,35737.45,35737.45,35737.45,35737.45,35737.45
