datetime,open,high,low,close,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
2020-09-01 13:19:00,24051.0,24052.7,24034.0,24046.2,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:20:00,24053.85,24068.1,24033.65,24034.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:21:00,24035.45,24042.15,24015.8,24016.4,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:22:00,24013.25,24021.7,24001.05,24009.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:23:00,24011.2,24013.1,23961.95,23968.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:24:00,23967.6,24021.7,23967.6,24013.45,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:25:00,24013.85,24018.2,23971.15,23972.75,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:26:00,23970.95,23970.95,23933.2,23951.55,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:27:00,23948.95,23961.45,23921.0,23956.5,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:28:00,23956.1,23960.8,23931.4,23947.85,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:29:00,23946.35,23986.0,23946.35,23947.85,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:30:00,23948.05,23973.35,23946.7,23961.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:31:00,23961.65,24011.5,23958.7,23985.35,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:32:00,23985.0,23993.55,23974.95,23991.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:33:00,23988.8,24011.9,23987.95,23999.35,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:34:00,23993.75,23993.75,23968.9,23973.5,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:35:00,23972.6,23994.55,23971.6,23985.05,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:36:00,23980.1,24006.95,23979.5,23988.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:37:00,23987.15,24001.35,23976.9,23979.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:38:00,23981.2,23996.85,23958.15,23993.4,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:39:00,23994.8,24001.25,23978.4,23980.75,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:40:00,23978.4,23979.55,23952.35,23979.55,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:41:00,23978.35,23993.05,23975.55,23975.55,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:42:00,23978.7,23980.15,23956.5,23958.15,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:43:00,23956.95,23966.3,23942.6,23953.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:44:00,23950.2,23964.4,23915.25,23915.25,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:45:00,23913.1,23915.4,23823.15,23824.3,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:46:00,23823.8,23863.0,23817.85,23856.15,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:47:00,23859.75,23877.1,23852.6,23864.5,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:48:00,23870.15,23880.15,23854.9,23854.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:49:00,23854.25,23854.75,23792.35,23800.1,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:50:00,23797.8,23797.8,23719.65,23763.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:51:00,23763.95,23771.9,23749.75,23757.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:52:00,23758.8,23786.7,23755.05,23771.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:53:00,23771.0,23772.35,23726.65,23726.65,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:54:00,23728.1,23770.9,23720.15,23766.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:55:00,23766.85,23820.65,23754.4,23819.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:56:00,23819.65,23822.8,23792.8,23803.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
