datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt,index_x,CEopen,CEhigh,CElow,CEclose,CEentryPrice,CEstoploss,CEtarget,CE_SLhit,CE_Tgthit,CEhitstatus,CEexitPrice,CE_MTM,CE_highMTM,CE_maxMTM,CE_lowMTM,CE_minMTM,CE_PnL,index_y,PEopen,PEhigh,PElow,PEclose,PEentryPrice,PEstoploss,PEtarget,PE_SLhit,PE_Tgthit,PEhitstatus,PEexitPrice,PE_MTM,PE_highMTM,PE_maxMTM,PE_lowMTM,PE_minMTM,PE_PnL,CBopen,CBhigh,CBlow,CBclose
01-01-2020 14:01,32146.65,32152.25,32144.05,32146.3,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:01,37,37.3,35.9,35.9,94.55,113.46,18.91,0,0,,,58.65,58.65,64.8,57.25,-6.45,,01-01-2020 14:01,111.6,115,111.6,115,66.35,79.62,13.27,1,0,SL_hit,79.62,-48.65,-45.25,12.65,-48.65,-101.65,-13.27,148.6,150.9,148.9,150.9
01-01-2020 14:02,32146.2,32146.35,32140.25,32146.35,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:02,35.25,36.5,35.15,36.1,94.55,113.46,18.91,0,0,,,58.45,59.4,64.8,58.05,-6.45,,01-01-2020 14:02,115.25,116.75,113.55,115.1,66.35,79.62,13.27,1,0,SL_hit,79.62,-48.75,-47.2,12.65,-50.4,-101.65,-13.27,150.5,151.9,150.05,151.2
01-01-2020 14:03,32147.45,32147.45,32135.4,32136.45,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:03,36.15,36.7,33.85,34.4,94.55,113.46,18.91,0,0,,,60.15,60.7,64.8,57.85,-6.45,,01-01-2020 14:03,114,120.7,113.2,117.9,66.35,79.62,13.27,1,0,SL_hit,79.62,-51.55,-46.85,12.65,-54.35,-101.65,-13.27,150.15,154.55,149.9,152.3
01-01-2020 14:04,32136.7,32141,32132.6,32134.95,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:04,34.25,34.9,33,33,94.55,113.46,18.91,0,0,,,61.55,61.55,64.8,59.65,-6.45,,01-01-2020 14:04,118.1,118.95,116.35,118.95,66.35,79.62,13.27,1,0,SL_hit,79.62,-52.6,-50,12.65,-52.6,-101.65,-13.27,152.35,151.95,151.25,151.95
01-01-2020 14:05,32134.65,32140.9,32128.85,32131.25,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:05,33.05,34.8,33,33.35,94.55,113.46,18.91,0,0,,,61.2,61.55,64.8,59.75,-6.45,,01-01-2020 14:05,119.4,119.7,115.75,118.95,66.35,79.62,13.27,1,0,SL_hit,79.62,-52.6,-49.4,12.65,-53.35,-101.65,-13.27,152.45,152.7,150.55,152.3
01-01-2020 14:06,32131.15,32138.5,32128.8,32135.75,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:06,33.3,34.9,32.9,34.55,94.55,113.46,18.91,0,0,,,60,61.65,64.8,59.65,-6.45,,01-01-2020 14:06,119.9,120.9,114.7,116.45,66.35,79.62,13.27,1,0,SL_hit,79.62,-50.1,-48.35,12.65,-54.55,-101.65,-13.27,153.2,153.8,149.6,151
01-01-2020 14:07,32135.95,32142.7,32133.65,32142,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:07,34.4,35.95,34.4,34.55,94.55,113.46,18.91,0,0,,,60,60.15,64.8,58.6,-6.45,,01-01-2020 14:07,116.2,116.8,113.1,115.8,66.35,79.62,13.27,1,0,SL_hit,79.62,-49.45,-46.75,12.65,-50.45,-101.65,-13.27,150.6,151.2,149.05,150.35
01-01-2020 14:08,32141.15,32144.85,32132.8,32132.8,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:08,34.75,35.9,33.95,34.3,94.55,113.46,18.91,0,0,,,60.25,60.6,64.8,58.65,-6.45,,01-01-2020 14:08,116,116.6,111.95,115.15,66.35,79.62,13.27,1,0,SL_hit,79.62,-48.8,-45.6,12.65,-50.25,-101.65,-13.27,150.75,150.55,147.85,149.45
01-01-2020 14:09,32135.8,32139.95,32131.8,32135.35,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:09,34.25,34.95,33.65,34.35,94.55,113.46,18.91,0,0,,,60.2,60.9,64.8,59.6,-6.45,,01-01-2020 14:09,115.7,116.1,113.2,114.6,66.35,79.62,13.27,1,0,SL_hit,79.62,-48.25,-46.85,12.65,-49.75,-101.65,-13.27,149.95,149.75,148.15,148.95
01-01-2020 14:10,32136.6,32141.2,32133.35,32135.5,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:10,34.5,34.7,32.9,32.9,94.55,113.46,18.91,0,0,,,61.65,61.65,64.8,59.85,-6.45,,01-01-2020 14:10,115.35,117.8,113.6,117.8,66.35,79.62,13.27,1,0,SL_hit,79.62,-51.45,-47.25,12.65,-51.45,-101.65,-13.27,149.85,150.7,148.3,150.7
01-01-2020 14:11,32137.2,32139.55,32131.3,32138.75,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:11,32.7,34.7,32.7,34.65,94.55,113.46,18.91,0,0,,,59.9,61.85,64.8,59.85,-6.45,,01-01-2020 14:11,118.35,118.4,115,116.15,66.35,79.62,13.27,1,0,SL_hit,79.62,-49.8,-48.65,12.65,-52.05,-101.65,-13.27,151.05,151.1,149.7,150.8
01-01-2020 14:12,32137.35,32142.45,32132.75,32140.65,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:12,34.8,34.9,34.15,34.5,94.55,113.46,18.91,0,0,,,60.05,60.4,64.8,59.65,-6.45,,01-01-2020 14:12,115.65,116.25,115,115.3,66.35,79.62,13.27,1,0,SL_hit,79.62,-48.95,-48.65,12.65,-49.9,-101.65,-13.27,150.45,150.4,149.9,149.8
01-01-2020 14:13,32140.05,32144.3,32138,32141.3,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:13,35.15,35.55,34.1,34.55,94.55,113.46,18.91,0,0,,,60,60.45,64.8,59,-6.45,,01-01-2020 14:13,114,115.8,111.9,114.85,66.35,79.62,13.27,1,0,SL_hit,79.62,-48.5,-45.55,12.65,-49.45,-101.65,-13.27,149.15,149.9,147.45,149.4
01-01-2020 14:14,32141.05,32144.85,32092.4,32102,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:14,34.4,34.5,22.1,27.95,94.55,113.46,18.91,0,0,,,66.6,72.45,72.45,60.05,-6.45,,01-01-2020 14:14,114.85,134,114.85,127.75,66.35,79.62,13.27,1,0,SL_hit,79.62,-61.4,-48.5,12.65,-67.65,-101.65,-13.27,149.25,156.1,149.35,155.7
