entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
2020-07-02 15:15:00,2020-07-09 15:15:00,21919.4,22000,21800,BANKNIFTY20070922000CE,BANKNIFTY20070921800PE,2020,475.0,402.7,2020-07-09 15:15:00,2020-07-09 15:15:00,22894.8,22000,21800,BANKNIFTY20070922000CE,BANKNIFTY20070921800PE,2020,878.1,0.1
2020-07-09 15:15:00,2020-07-16 15:15:00,22894.8,23000,22800,BANKNIFTY20071623000CE,BANKNIFTY20071622800PE,2020,391.9,401.9,2020-07-16 15:15:00,2020-07-16 15:15:00,21555.25,23000,22800,BANKNIFTY20071623000CE,BANKNIFTY20071622800PE,2020,0.1,1214.6
2020-07-16 15:15:00,2020-07-23 15:15:00,21555.25,21700,21500,BANKNIFTY20072321700CE,BANKNIFTY20072321500PE,2020,370.0,432.0,2020-07-23 15:15:00,2020-07-23 15:15:00,23078.15,21700,21500,BANKNIFTY20072321700CE,BANKNIFTY20072321500PE,2020,1372.0,0.05
2020-07-23 15:15:00,2020-07-30 15:15:00,23078.15,23200,23000,BANKNIFTY20073023200CE,BANKNIFTY20073023000PE,2020,367.5,386.9,2020-07-30 15:15:00,2020-07-30 15:15:00,21671.9,23200,23000,BANKNIFTY20073023200CE,BANKNIFTY20073023000PE,2020,0.15,1337.95
2020-07-30 15:15:00,2020-08-06 15:15:00,21671.9,21800,21600,BANKNIFTY20080621800CE,BANKNIFTY20080621600PE,2020,371.05,415.8,2020-08-06 15:15:00,2020-08-06 15:15:00,21659.05,21800,21600,BANKNIFTY20080621800CE,BANKNIFTY20080621600PE,2020,0.2,0.8
2020-08-06 15:15:00,2020-08-13 15:15:00,21659.05,21800,21600,BANKNIFTY20081321800CE,BANKNIFTY20081321600PE,2020,307.85,362.0,2020-08-13 15:15:00,2020-08-13 15:15:00,22196.5,21800,21600,BANKNIFTY20081321800CE,BANKNIFTY20081321600PE,2020,386.75,0.15
2020-08-13 15:15:00,2020-08-20 15:15:00,22196.5,22300,22100,BANKNIFTY20082022300CE,BANKNIFTY20082022100PE,2020,284.0,304.85,2020-08-20 15:15:00,2020-08-20 15:15:00,21989.3,22300,22100,BANKNIFTY20082022300CE,BANKNIFTY20082022100PE,2020,0.15,102.6
2020-08-20 15:15:00,2020-08-27 15:15:00,21989.3,22100,21900,BANKNIFTY20082722100CE,BANKNIFTY20082721900PE,2020,280.4,320.0,2020-08-27 15:15:00,2020-08-27 15:15:00,23585.85,22100,21900,BANKNIFTY20082722100CE,BANKNIFTY20082721900PE,2020,1506.5,0.2
2020-08-27 15:15:00,2020-09-03 15:15:00,23585.85,23700,23500,BANKNIFTY20090323700CE,BANKNIFTY20090323500PE,2020,285.65,307.95,2020-09-03 15:15:00,2020-09-03 15:15:00,23511.4,23700,23500,BANKNIFTY20090323700CE,BANKNIFTY20090323500PE,2020,0.35,5.85
2020-09-03 15:15:00,2020-09-10 15:15:00,23511.4,23600,23400,BANKNIFTY20091023600CE,BANKNIFTY20091023400PE,2020,417.25,419.0,2020-09-10 15:15:00,2020-09-10 15:15:00,22473.35,23600,23400,BANKNIFTY20091023600CE,BANKNIFTY20091023400PE,2020,0.1,
2020-09-10 15:15:00,2020-09-17 15:15:00,22473.35,22600,22400,BANKNIFTY20091722600CE,BANKNIFTY20091722400PE,2020,321.9,339.45,2020-09-17 15:15:00,2020-09-17 15:15:00,22334.95,22600,22400,BANKNIFTY20091722600CE,BANKNIFTY20091722400PE,2020,0.25,69.45
2020-09-17 15:15:00,2020-09-24 15:15:00,22334.95,22400,22200,BANKNIFTY20092422400CE,BANKNIFTY20092422200PE,2020,395.35,294.65,2020-09-24 15:15:00,2020-09-24 15:15:00,20444.85,22400,22200,BANKNIFTY20092422400CE,BANKNIFTY20092422200PE,2020,0.2,
2020-09-24 15:15:00,2020-10-01 15:15:00,20444.85,20500,20300,BANKNIFTY20100120500CE,BANKNIFTY20100120300PE,2020,433.0,349.6,2020-10-01 15:15:00,2020-10-01 15:15:00,22264.0,20500,20300,BANKNIFTY20100120500CE,BANKNIFTY20100120300PE,2020,1763.25,0.1
2020-10-01 15:15:00,2020-10-08 15:15:00,22264.0,22400,22200,BANKNIFTY20100822400CE,BANKNIFTY20100822200PE,2020,282.75,292.7,2020-10-08 15:15:00,2020-10-08 15:15:00,23193.25,22400,22200,BANKNIFTY20100822400CE,BANKNIFTY20100822200PE,2020,787.2,0.1
