entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,year,CEprice
2021-05-12 15:15:00,2021-05-12,2021-05-12,2021-05-12,32470.15,32700,32200,BANKNIFTY21051232700CE,2021,0.5
2021-05-20 15:15:00,2021-05-20,2021-05-20,2021-05-20,33308.05,33550,33050,BANKNIFTY21052033550CE,2021,
2021-05-27 15:15:00,2021-05-27,2021-05-27,2021-05-27,35122.8,35350,34850,BANKNIFTY21052735350CE,2021,
2021-06-03 15:15:00,2021-06-03,2021-06-03,2021-06-03,35647.35,35900,35400,BANKNIFTY21060335900CE,2021,0.2
2021-06-10 15:15:00,2021-06-10,2021-06-10,2021-06-10,35135.6,35400,34900,BANKNIFTY21061035400CE,2021,0.2
2021-06-17 15:15:00,2021-06-17,2021-06-17,2021-06-17,34679.65,34950,34450,BANKNIFTY21061734950CE,2021,
2021-06-24 15:15:00,2021-06-24,2021-06-24,2021-06-24,34831.25,35100,34600,BANKNIFTY21062435100CE,2021,0.2
2021-07-01 15:15:00,2021-07-01,2021-07-01,2021-07-01,34682.5,34950,34450,BANKNIFTY21070134950CE,2021,
2021-07-08 15:15:00,2021-07-08,2021-07-08,2021-07-08,35328.2,35600,35100,BANKNIFTY21070835600CE,2021,0.4
2021-07-15 15:15:00,2021-07-15,2021-07-15,2021-07-15,35904.55,36150,35650,BANKNIFTY21071536150CE,2021,
2021-07-22 15:15:00,2021-07-22,2021-07-22,2021-07-22,34667.9,34900,34400,BANKNIFTY21072234900CE,2021,0.25
2021-07-29 15:15:00,2021-07-29,2021-07-29,2021-07-29,34684.15,34950,34450,BANKNIFTY21072934950CE,2021,
2021-08-05 15:15:00,2021-08-05,2021-08-05,2021-08-05,35822.9,36050,35550,BANKNIFTY21080536050CE,2021,
2021-08-12 15:15:00,2021-08-12,2021-08-12,2021-08-12,35930.85,36200,35700,BANKNIFTY21081236200CE,2021,0.3
2021-08-18 15:15:00,2021-08-18,2021-08-18,2021-08-18,35589.0,35850,35350,BANKNIFTY21081835850CE,2021,
2021-08-26 15:15:00,2021-08-26,2021-08-26,2021-08-26,35617.45,35850,35350,BANKNIFTY21082635850CE,2021,
2021-09-02 15:15:00,2021-09-02,2021-09-02,2021-09-02,36827.1,37100,36600,BANKNIFTY21090237100CE,2021,0.25
2021-09-09 15:15:00,2021-09-09,2021-09-09,2021-09-09,36686.05,36950,36450,BANKNIFTY21090936950CE,2021,
2021-09-16 15:15:00,2021-09-16,2021-09-16,2021-09-16,37641.15,37900,37400,BANKNIFTY21091637900CE,2021,0.3
2021-09-23 15:15:00,2021-09-23,2021-09-23,2021-09-23,37781.6,38050,37550,BANKNIFTY21092338050CE,2021,
