entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
10-03-2021 15:15,10-03-2021,10-03-2021,10-03-2021,35935.8,36200,35700,BANKNIFTY21031036200CE,BANKNIFTY21031035700PE,2021,0.35,0.4
18-03-2021 15:15,18-03-2021,18-03-2021,18-03-2021,33931,34200,33700,BANKNIFTY21031834200CE,BANKNIFTY21031833700PE,2021,0.75,0.4
25-03-2021 15:15,25-03-2021,25-03-2021,25-03-2021,32938.5,33200,32700,BANKNIFTY21032533200CE,BANKNIFTY21032532700PE,2021,1.05,1.7
01-04-2021 15:15,01-04-2021,01-04-2021,01-04-2021,33942.1,34200,33700,BANKNIFTY21040134200CE,BANKNIFTY21040133700PE,2021,1.05,0.8
08-04-2021 15:15,08-04-2021,08-04-2021,08-04-2021,32770.05,33000,32500,BANKNIFTY21040833000CE,BANKNIFTY21040832500PE,2021,0.4,0.3
15-04-2021 15:15,15-04-2021,15-04-2021,15-04-2021,32103.3,32350,31850,BANKNIFTY21041532350CE,BANKNIFTY21041531850PE,2021,,
22-04-2021 15:15,22-04-2021,22-04-2021,22-04-2021,31772.45,32000,31500,BANKNIFTY21042232000CE,BANKNIFTY21042231500PE,2021,0.3,0.35
29-04-2021 15:15,29-04-2021,29-04-2021,29-04-2021,33728.1,34000,33500,BANKNIFTY21042934000CE,BANKNIFTY21042933500PE,2021,0.3,0.55
06-05-2021 15:15,06-05-2021,06-05-2021,06-05-2021,32855.1,33100,32600,BANKNIFTY21050633100CE,BANKNIFTY21050632600PE,2021,0.3,0.2
12-05-2021 15:15,12-05-2021,12-05-2021,12-05-2021,32470.15,32700,32200,BANKNIFTY21051232700CE,BANKNIFTY21051232200PE,2021,0.5,0.2
20-05-2021 15:15,20-05-2021,20-05-2021,20-05-2021,33308.05,33550,33050,BANKNIFTY21052033550CE,BANKNIFTY21052033050PE,2021,,
27-05-2021 15:15,27-05-2021,27-05-2021,27-05-2021,35122.8,35350,34850,BANKNIFTY21052735350CE,BANKNIFTY21052734850PE,2021,,
03-06-2021 15:15,03-06-2021,03-06-2021,03-06-2021,35647.35,35900,35400,BANKNIFTY21060335900CE,BANKNIFTY21060335400PE,2021,0.2,0.15
