entryDt,relevantEntryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
08-04-2021 15:15,15-04-2021 15:15,08-04-2021,08-04-2021,08-04-2021,32770.05,32850,32650,BANKNIFTY21041532850CE,BANKNIFTY21041532650PE,2021,,
15-04-2021 15:15,22-04-2021 15:15,15-04-2021,15-04-2021,15-04-2021,32103.3,32200,32000,BANKNIFTY21042232200CE,BANKNIFTY21042232000PE,2021,565.15,562.75
22-04-2021 15:15,29-04-2021 15:15,22-04-2021,22-04-2021,22-04-2021,31772.45,31850,31650,BANKNIFTY21042931850CE,BANKNIFTY21042931650PE,2021,,
29-04-2021 15:15,06-05-2021 15:15,29-04-2021,29-04-2021,29-04-2021,33728.1,33850,33650,BANKNIFTY21050633850CE,BANKNIFTY21050633650PE,2021,,
06-05-2021 15:15,12-05-2021 15:15,06-05-2021,06-05-2021,06-05-2021,32855.1,32950,32750,BANKNIFTY21051232950CE,BANKNIFTY21051232750PE,2021,,
12-05-2021 15:15,20-05-2021 15:15,12-05-2021,12-05-2021,12-05-2021,32470.15,32550,32350,BANKNIFTY21052032550CE,BANKNIFTY21052032350PE,2021,,
20-05-2021 15:15,27-05-2021 15:15,20-05-2021,20-05-2021,20-05-2021,33308.05,33400,33200,BANKNIFTY21052733400CE,BANKNIFTY21052733200PE,2021,507,408
27-05-2021 15:15,03-06-2021 15:15,27-05-2021,27-05-2021,27-05-2021,35122.8,35200,35000,BANKNIFTY21060335200CE,BANKNIFTY21060335000PE,2021,559.25,445.25
03-06-2021 15:15,10-06-2021 15:15,03-06-2021,03-06-2021,03-06-2021,35647.35,35750,35550,BANKNIFTY21061035750CE,BANKNIFTY21061035550PE,2021,,
10-06-2021 15:15,17-06-2021 15:15,10-06-2021,10-06-2021,10-06-2021,35135.6,35250,35050,BANKNIFTY21061735250CE,BANKNIFTY21061735050PE,2021,,
17-06-2021 15:15,24-06-2021 15:15,17-06-2021,17-06-2021,17-06-2021,34679.65,34800,34600,BANKNIFTY21062434800CE,BANKNIFTY21062434600PE,2021,383.05,334.85
24-06-2021 15:15,01-07-2021 15:15,24-06-2021,24-06-2021,24-06-2021,34831.25,34950,34750,BANKNIFTY21070134950CE,BANKNIFTY21070134750PE,2021,,
01-07-2021 15:15,08-07-2021 15:15,01-07-2021,01-07-2021,01-07-2021,34682.5,34800,34600,BANKNIFTY21070834800CE,BANKNIFTY21070834600PE,2021,309.15,264.55
08-07-2021 15:15,15-07-2021 15:15,08-07-2021,08-07-2021,08-07-2021,35328.2,35450,35250,BANKNIFTY21071535450CE,BANKNIFTY21071535250PE,2021,,
15-07-2021 15:15,22-07-2021 15:15,15-07-2021,15-07-2021,15-07-2021,35904.55,36000,35800,BANKNIFTY21072236000CE,BANKNIFTY21072235800PE,2021,278.75,258.25
22-07-2021 15:15,29-07-2021 15:15,22-07-2021,22-07-2021,22-07-2021,34667.9,34750,34550,BANKNIFTY21072934750CE,BANKNIFTY21072934550PE,2021,,
29-07-2021 15:15,05-08-2021 15:15,29-07-2021,29-07-2021,29-07-2021,34684.15,34800,34600,BANKNIFTY21080534800CE,BANKNIFTY21080534600PE,2021,293.85,264.2
05-08-2021 15:15,12-08-2021 15:15,05-08-2021,05-08-2021,05-08-2021,35822.9,35900,35700,BANKNIFTY21081235900CE,BANKNIFTY21081235700PE,2021,354.25,285.65
12-08-2021 15:15,18-08-2021 15:15,12-08-2021,12-08-2021,12-08-2021,35930.85,36050,35850,BANKNIFTY21081836050CE,BANKNIFTY21081835850PE,2021,,
18-08-2021 15:15,26-08-2021 15:15,18-08-2021,18-08-2021,18-08-2021,35589,35700,35500,BANKNIFTY21082635700CE,BANKNIFTY21082635500PE,2021,305.7,264.5
26-08-2021 15:15,02-09-2021 15:15,26-08-2021,26-08-2021,26-08-2021,35617.45,35700,35500,BANKNIFTY21090235700CE,BANKNIFTY21090235500PE,2021,302.6,251
02-09-2021 15:15,09-09-2021 15:15,02-09-2021,02-09-2021,02-09-2021,36827.1,36950,36750,BANKNIFTY21090936950CE,BANKNIFTY21090936750PE,2021,,
09-09-2021 15:15,16-09-2021 15:15,09-09-2021,09-09-2021,09-09-2021,36686.05,36800,36600,BANKNIFTY21091636800CE,BANKNIFTY21091636600PE,2021,257.2,257.55
16-09-2021 15:15,23-09-2021 15:15,16-09-2021,16-09-2021,16-09-2021,37641.15,37750,37550,BANKNIFTY21092337750CE,BANKNIFTY21092337550PE,2021,,
23-09-2021 15:15,30-09-2021 15:15,23-09-2021,23-09-2021,23-09-2021,37781.6,37900,37700,BANKNIFTY21093037900CE,BANKNIFTY21093037700PE,2021,398,345
30-09-2021 15:15,07-10-2021 15:15,30-09-2021,30-09-2021,30-09-2021,37446.35,37550,37350,BANKNIFTY21100737550CE,BANKNIFTY21100737350PE,2021,,
07-10-2021 15:15,14-10-2021 15:15,07-10-2021,07-10-2021,07-10-2021,37744.8,37850,37650,BANKNIFTY21101437850CE,BANKNIFTY21101437650PE,2021,,
14-10-2021 15:15,21-10-2021 15:15,14-10-2021,14-10-2021,14-10-2021,39360.15,39450,39250,BANKNIFTY21102139450CE,BANKNIFTY21102139250PE,2021,,
21-10-2021 15:15,28-10-2021 15:15,21-10-2021,21-10-2021,21-10-2021,40035.3,40150,39950,BANKNIFTY21102840150CE,BANKNIFTY21102839950PE,2021,,
28-10-2021 15:15,03-11-2021 15:15,28-10-2021,28-10-2021,28-10-2021,39528.1,39650,39450,BANKNIFTY21110339650CE,BANKNIFTY21110339450PE,2021,,
03-11-2021 15:15,11-11-2021 15:15,03-11-2021,03-11-2021,03-11-2021,39359.75,39450,39250,BANKNIFTY21111139450CE,BANKNIFTY21111139250PE,2021,,
